板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
消费,4,16,1,18,38,2.8000000000000007,10.8,+0.3
航空机场,2,4,0,2,20,-0.6000000000000001,3.4,NEW
教育,2,1,0,2,9,-1.4,2.6,NEW
建筑建材,2,4,0,6,20,-1.7999999999999998,2.2,NEW
汽车,1,4,0,0,19,0.2,2.2,-2.3
人工智能,1,4,0,0,19,0.2,2.2,-8.3
半导体,1,4,0,0,19,0.2,2.2,NEW
医药,1,4,0,0,19,0.2,2.2,NEW
金融,1,0,0,0,1,-0.2,1.8,+2.3
农业,1,0,0,2,6,-1.8,0.19999999999999996,-6.3
核电,1,0,0,2,6,-1.8,0.19999999999999996,NEW
食品,1,0,0,2,6,-1.8,0.19999999999999996,-4.4
物流,2,3,1,12,13,-4.2,-0.20000000000000018,-8.3
环保,2,3,1,12,13,-4.2,-0.20000000000000018,NEW
有色金属,1,0,0,6,9,-3.6,-1.6,NEW
