股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,异动催化数,异动催化词,异动催化分,综合分
sh.603599,nan,10.77,10.25,2.19,3.01,216634795.0,1.0,7.16,2.38,1.0,0,,0,,0.0,33.64
sh.601952,nan,9.63,8.91,2.78,3.23,365553202.0,0.97,4.67,15.61,0.975,0,,0,,0.0,33.44
sh.603193,nan,12.15,11.53,1.05,1.18,287654606.0,0.84,6.67,7.9,0.998,0,,0,,0.0,31.23
sh.601155,nan,12.15,11.53,1.05,1.18,287654606.0,0.84,6.67,7.9,0.998,0,,0,,0.0,31.23
sh.603100,nan,18.96,18.67,1.31,0.99,235490421.0,1.48,-0.42,6.1,0.978,0,,0,,0.0,26.47
sh.601156,nan,28.21,26.92,0.81,0.74,297504327.0,0.97,0.75,8.5,0.985,0,,0,,0.0,23.55
sh.600887,nan,26.61,26.03,1.07,1.07,1796711297.0,0.94,0.42,1.33,0.991,0,,0,,0.0,20.98
