板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
教育,1,8,0,0,7,7.4,9.4,+17.3
计算机,1,0,0,0,3,-0.6,1.4,NEW
军工,1,0,0,0,3,-0.6,1.4,-1.6
石油石化,1,0,0,1,2,-0.7,1.3,NEW
农业,1,2,0,11,2,-1.7,0.30000000000000004,-1.3
综合,1,2,0,11,2,-1.7,0.30000000000000004,NEW
物流,1,2,0,6,10,-1.8,0.19999999999999996,-1.2
汽车,1,2,0,6,10,-1.8,0.19999999999999996,NEW
传媒,1,2,0,6,10,-1.8,0.19999999999999996,NEW
机器人,2,4,0,10,28,-4.6,-0.5999999999999996,-2.6
消费,2,4,0,10,28,-4.6,-0.5999999999999996,-3.6
人工智能,1,2,0,4,18,-2.8,-0.7999999999999998,-2.4
