股票代码,股票名称,综合分
603357,设计总院,100.0
300290,ST荣科,100.0
600598,北大荒,100.0
000025,特  力Ａ,99.25
600191,华资实业,98.39
600283,钱江水利,98.15
601127,赛力斯,97.22
002612,朗姿股份,96.42
600566,济川药业,96.41
000875,电投绿能,95.91
301502,华阳智能,94.45
000543,皖能电力,92.99
000429,粤高速Ａ,92.6
000027,深圳能源,92.56
301337,亚华电子,91.97
001238,浙江正特,90.35
003023,彩虹集团,89.97
002554,惠博普,89.9
002818,富森美,89.39
688418,震有科技,89.26
000883,湖北能源,88.89
688096,京源环保,88.7
300061,旗天科技,88.28
603848,好太太,87.88
688385,复旦微电,87.42
300553,集智股份,87.27
688249,晶合集成,86.87
600795,国电电力,86.33
603150,万朗磁塑,86.19
001286,陕西能源,86.0
002616,长青集团,84.97
002307,北新路桥,84.75
600389,江山股份,84.63
600785,新华百货,84.42
600983,惠而浦,84.35
605287,德才股份,84.29
603202,天有为,84.18
603257,中国瑞林,83.59
601187,厦门银行,83.46
600780,通宝能源,83.24
