code,buy_date,sell_date,buy_price,sell_price,qty,return_pct,exit_reason
601156,2026-08-11,2026-08-17,17.868,18.911,100,5.84,take_partial
600354,2026-08-11,2026-08-17,6.206,6.344,500,2.21,take_band
601156,2026-08-11,2026-08-18,17.868,18.811,100,5.28,take_partial_final
600256,2026-08-11,2026-08-19,5.896,6.154,200,4.38,take_partial
600744,2026-08-11,2026-08-19,7.528,6.392,300,-15.09,stop_hard
600644,2026-08-11,2026-08-19,10.32,8.763,200,-15.08,stop_hard
600256,2026-08-11,2026-08-21,5.896,6.224,700,5.56,take_partial_final
601225,2026-08-11,2026-08-24,26.276,26.474,100,0.75,max_hold
600188,2026-08-11,2026-08-24,22.172,21.808,200,-1.64,max_hold
601898,2026-08-11,2026-08-24,14.444,14.578,300,0.93,max_hold
600023,2026-08-11,2026-08-24,4.965,4.855,400,-2.21,max_hold
