股票代码,股票名称,行业
603075,热威股份,白色家电
002884,凌霄泵业,通用设备
000997,新大陆,计算机设备
001696,宗申动力,通用设备
002158,汉钟精机,通用设备
600060,海信视像,黑色家电


