股票代码,股票名称,综合分
603229,奥翔药业,85.95
300559,佳发教育,84.45
002960,青鸟智控,82.57
600850,电科数字,79.74
688091,上海谊众,77.37
600007,中国国贸,77.29
603255,鼎际得,77.28
000910,大亚圣象,77.11
300182,捷成股份,76.51
603917,合力科技,76.5
000029,深深房Ａ,76.43
002965,祥鑫科技,75.77
000793,*ST华闻,72.82
300440,运达科技,71.35
001322,箭牌家居,71.21
301116,益客食品,70.51
601555,东吴证券,69.3
603719,良品铺子,68.48
600246,万通发展,68.36
300353,东土科技,67.68
301223,中荣股份,67.42
600469,风神股份,67.06
601878,浙商证券,66.75
600999,XD招商证,65.51
600201,生物股份,64.46
002230,科大讯飞,64.03
603230,内蒙新华,62.7
603008,ST喜临门,60.02
002139,拓邦股份,59.99
600061,国投资本,59.91
301127,武汉天源,59.86
601689,拓普集团,59.59
002393,力生制药,59.19
688279,峰岹科技,59.12
300244,迪安诊断,58.96
603209,兴通股份,58.54
603205,健尔康,56.21
601099,太平洋,55.02
603018,华设集团,54.97
601881,中国银河,54.78
