股票代码,股票名称,命中策略数,来源策略,综合评分,权重,建议买入价,建议仓位%,建议金额,最新价,止损价(下轨),止盈价(上轨),MA20,stop_pct,因子分
600332,白云山,2,Skew60/Vol20,76.9,13.8,20.94,5.0,6282.0,20.94,20.381789078252112,21.27021092174789,20.826,0.04,6.8
600919,江苏银行,1,Vol20,72.2,13.8,11.6568,5.0,5828.0,11.6568,10.706384735236519,11.524215264763484,11.115300000000001,0.04,15.0
601328,交通银行,1,Vol20,72.1,13.8,6.9716,5.0,5577.0,6.9716,6.3181688569132435,6.839031143086756,6.5786,0.04,15.0
601658,邮储银行,1,Vol20,71.8,13.8,5.1047,5.0,5105.0,5.1047,4.783506912329451,5.007893087670548,4.8957,0.04,15.0
600900,长江电力,1,Vol20,71.7,13.8,27.49,5.0,5498.0,27.49,25.86102058003984,27.42897941996016,26.645,0.04,15.0
600036,招商银行,1,Vol20,71.5,13.8,38.29,5.0,7658.0,38.29,35.6483445429983,38.163655457001695,36.906,0.04,15.0
601818,光大银行,1,Vol20,71.4,13.8,3.16,5.0,5056.0,3.16,2.9909657159730445,3.1150342840269554,3.053,0.04,15.0
601916,浙商银行,1,Vol20,70.9,13.8,2.949,5.0,5013.0,2.949,2.8122560192234527,2.9787439807765477,2.8955,0.04,15.0
601997,贵阳银行,1,Vol20,70.8,13.8,5.81,5.0,5229.0,5.81,5.57172161874261,5.785278381257389,5.6785,0.04,15.0
601128,常熟银行,1,Vol20,70.2,13.8,6.47,5.0,5176.0,6.47,6.249220250677694,6.495052476595032,6.372136363636363,0.04,15.0
600039,四川路桥,2,PVCorr60/Skew60,70.2,8.7,7.85,5.0,5495.0,7.85,7.573264860942212,8.32573513905779,7.9495000000000005,0.0442,14.1
600012,皖通高速,2,Skew20/Skew60,42.2,4.2,15.86,2.9,3172.0,15.86,15.016208634524562,16.59779136547544,15.807000000000002,0.0714,15.0
300951,博硕科技,1,Skew60,41.0,4.2,42.96,2.8,4296.0,42.96,35.74943238259033,44.51756761740968,40.133500000000005,0.0565,15.0
002223,鱼跃医疗,2,PVCorr60/Skew60,39.5,8.7,25.56,2.6,5112.0,25.56,24.787200031973082,27.342799968026927,26.065000000000005,0.04,-4.9
600704,物产中大,1,PVCorr60,31.1,8.7,4.6499999999999995,1.9,2325.0,4.6499999999999995,4.569722957042535,4.945277042957466,4.7575,0.04,3.7
605208,永茂泰,2,Skew20/VRatio10_60,27.3,0.0,15.68,1.6,3136.0,15.68,13.876734088939637,15.37626591106036,14.626499999999998,0.0528,15.0
603115,海星股份,1,DistLo10,26.8,0.0,89.52000000000001,1.6,8952.0,89.52000000000001,87.02796358273851,115.70203641726148,101.365,0.12,15.0
