code,buy_date,sell_date,buy_price,sell_price,qty,return_pct,exit_reason
001299,2026-06-01,2026-06-02,12.633,13.766,100,8.97,take_partial
600578,2026-06-01,2026-06-02,9.049,7.684,800,-15.09,stop_hard
600506,2026-06-01,2026-06-02,18.388,17.752,400,-3.46,trend_break
001299,2026-06-01,2026-06-02,12.633,13.766,500,8.97,take_band
001332,2026-06-01,2026-06-02,46.326,49.351,100,6.53,take_partial_final
603596,2026-06-01,2026-06-02,31.952,31.898,400,-0.17,trend_break
600396,2026-06-01,2026-06-03,20.01,21.319,100,6.54,take_partial
002807,2026-06-01,2026-06-03,3.994,3.996,2000,0.05,trend_break
600726,2026-06-01,2026-06-03,10.39,8.823,700,-15.09,stop_hard
002396,2026-06-01,2026-06-04,22.633,21.359,300,-5.63,trend_break
600396,2026-06-01,2026-06-04,20.01,21.948,200,9.69,take_partial_final
603162,2026-06-01,2026-06-08,11.642,9.885,600,-15.08,stop_hard
000922,2026-06-01,2026-06-08,13.383,11.828,500,-11.62,trend_break
002245,2026-06-01,2026-06-15,21.111,20.04,300,-5.07,max_hold
