股票代码,股票名称,综合分
000598,兴蓉环境,73.97
600642,申能股份,73.12
603856,东宏股份,72.15
600573,惠泉啤酒,71.6
600955,维远股份,70.7
600229,城市传媒,70.54
002981,朝阳科技,70.47
000978,桂林旅游,70.47
600036,招商银行,70.42
002054,德美化工,70.25
002722,物产金轮,70.13
603999,读者传媒,69.97
603586,金麒麟,69.89
001279,强邦新材,69.88
603899,晨光股份,69.85
003028,振邦智能,69.76
600323,瀚蓝环境,69.57
601326,秦港股份,69.52
002095,生 意 宝,69.51
601333,广深铁路,69.31
301386,未来电器,69.28
002159,三特索道,69.2
002184,海得控制,69.06
301131,聚赛龙,69.05
001335,信凯科技,69.04
002398,垒知集团,68.98
600458,时代新材,68.97
002877,智能自控,68.88
300350,华鹏飞,68.83
600455,博通股份,68.81
000407,胜利股份,68.78
300425,中建环能,68.73
603860,中公高科,68.73
002858,力盛体育,68.71
002362,汉王科技,68.64
000333,美的集团,68.59
600908,无锡银行,68.59
605378,野马电池,68.58
600071,凤凰光学,68.56
600959,江苏有线,68.48
