code,buy_date,sell_date,buy_price,sell_price,qty,return_pct,exit_reason
600754,2025-12-08,2025-12-09,24.845,23.277,200,-6.31,trend_break
603598,2025-12-08,2025-12-10,18.238,19.7,100,8.02,take_partial
600686,2025-12-08,2025-12-10,16.086,16.434,300,2.16,take_band
002855,2025-12-08,2025-12-10,19.039,17.423,300,-8.49,trend_break
603598,2025-12-08,2025-12-10,18.238,19.7,300,8.02,take_band
300900,2025-12-08,2025-12-12,23.033,24.525,100,6.48,take_partial
300900,2025-12-08,2025-12-12,23.033,24.525,400,6.48,take_pct
300192,2025-12-08,2025-12-15,14.154,13.626,400,-3.73,trend_break
600802,2025-12-08,2025-12-16,8.388,7.123,600,-15.09,stop_hard
300867,2025-12-08,2025-12-16,22.943,20.44,500,-10.91,trend_break
600060,2025-12-08,2025-12-22,24.985,23.516,200,-5.88,trend_break
601600,2025-12-08,2025-12-22,11.161,10.789,500,-3.33,max_hold
600690,2025-12-08,2025-12-22,26.446,26.204,200,-0.92,max_hold
000520,2025-12-08,2025-12-22,5.105,5.265,2800,3.13,take_band
