股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.603061,金海通,25.4,24.62,5.39,4.05,1169180674.0,1.08,3.76,10.58,0.947,2,"半导体,电子",50.28
sh.600941,中国移动,25.4,24.62,5.39,4.05,1169180674.0,1.08,3.76,10.58,0.947,1,通信,40.28
sh.603881,数据港,25.4,24.62,5.39,4.05,1169180674.0,1.08,3.76,10.58,0.947,1,通信,40.28
sh.600693,nan,6.34,5.93,0.99,0.89,300315860.0,1.27,5.84,12.41,1.0,0,,36.18
sh.603659,nan,21.2,20.06,2.34,1.43,678835270.0,1.91,1.68,18.11,0.938,0,,34.45
sh.600285,nan,20.19,18.83,1.84,2.58,287414827.0,0.82,8.55,6.49,0.994,0,,33.39
sh.600054,nan,25.47,23.79,2.73,3.07,608333362.0,0.87,9.45,0.51,1.0,0,,32.88
sh.600352,nan,14.81,13.95,1.67,1.9,263391343.0,1.1,9.06,3.93,0.977,0,,32.73
sh.600380,nan,19.82,18.41,1.79,1.81,320175894.0,0.96,6.33,5.82,1.0,0,,32.25
sh.600887,nan,9.03,8.94,1.07,0.65,1830929518.0,1.85,1.92,1.92,0.993,0,,31.97
sh.601877,nan,25.88,24.43,1.21,1.01,669418687.0,1.19,5.33,3.07,1.0,0,,31.2
sh.600529,nan,20.05,18.95,1.71,2.34,228229148.0,0.85,4.43,7.28,1.0,0,,29.86
sh.601163,nan,23.09,22.51,1.72,1.93,228044465.0,0.97,3.4,8.35,0.983,0,,28.09
sh.600585,nan,16.77,15.97,1.81,2.33,379873523.0,0.74,5.47,3.01,0.996,0,,27.97
sh.601083,nan,8.95,8.46,3.62,5.22,337641206.0,0.8,2.29,6.04,0.982,0,,27.91
sh.605183,nan,13.17,12.6,2.48,2.46,1048026203.0,1.04,3.54,4.94,0.972,0,,27.29
sh.601677,nan,18.31,17.67,0.87,0.79,632738210.0,1.12,3.15,6.45,0.982,0,,27.0
sh.603279,nan,12.43,11.85,1.03,1.14,226926941.0,0.82,3.33,7.62,1.0,0,,26.89
sh.600741,nan,21.38,20.04,2.52,2.12,2714780458.0,0.94,3.54,0.14,0.993,0,,26.14
sh.601985,nan,27.12,26.3,1.02,1.3,1746451002.0,0.77,4.07,8.18,0.979,0,,25.6
sh.601107,nan,20.2,19.48,0.92,1.09,1569519723.0,0.91,4.12,6.93,0.97,0,,25.42
sh.600547,nan,27.67,25.8,1.38,1.74,1379025803.0,0.63,4.65,7.25,0.981,0,,25.31
sh.601058,nan,14.02,13.39,0.96,1.33,446421944.0,0.73,2.79,8.26,0.978,0,,23.54
sh.603899,nan,9.98,9.5,1.86,1.84,283969770.0,0.63,2.78,4.39,0.982,0,,22.19
sh.600452,nan,9.98,9.5,1.86,1.84,283969770.0,0.63,2.78,4.39,0.982,0,,22.19
sh.600535,nan,15.9,15.35,1.1,1.25,261228162.0,0.75,-0.13,10.19,0.986,0,,21.79
sh.601600,nan,9.48,8.99,1.36,1.72,1693716901.0,0.6,1.07,11.79,0.969,0,,21.13
