code,buy_date,sell_date,buy_price,sell_price,qty,return_pct,exit_reason
002958,2026-07-15,2026-07-16,2.853,2.967,200,4.0,take_partial
300613,2026-07-15,2026-07-16,64.064,58.541,100,-8.62,trend_break
601816,2026-07-15,2026-07-16,4.599,4.64,600,0.89,take_band
688249,2026-07-15,2026-07-16,52.152,48.671,100,-6.67,trend_break
688512,2026-07-15,2026-07-16,14.895,13.566,100,-8.92,trend_break
600177,2026-07-15,2026-07-17,7.578,7.672,200,1.25,take_band
002958,2026-07-15,2026-07-17,2.853,2.987,600,4.7,take_partial_final
300068,2026-07-15,2026-07-17,4.414,4.236,400,-4.05,trend_break
600900,2026-07-15,2026-07-20,27.638,28.951,100,4.75,take_partial_final
600919,2026-07-15,2026-07-20,11.271,11.498,100,2.02,take_band
601169,2026-07-15,2026-07-27,4.985,5.055,400,1.4,max_hold
