板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
一带一路,3,26,0,9,35,26.8,32.8,NEW
电力,2,12,0,9,36,12.0,16.0,+10.0
人工智能,1,12,0,9,34,12.0,14.0,+10.0
传媒,1,12,0,9,34,12.0,14.0,NEW
医院,1,12,0,9,34,12.0,14.0,NEW
基建市政工程,3,3,0,6,6,3.8,9.8,NEW
消费,4,0,0,0,3,0.0,8.0,NEW
教育,2,1,0,11,5,1.8,5.8,NEW
汽车,2,0,0,1,3,0.0,4.0,NEW
航空机场,2,0,0,0,2,0.0,4.0,+0.0
物流,1,2,0,0,4,2.0,4.0,NEW
环境治理,1,0,0,0,1,0.0,2.0,NEW
光伏,1,0,0,0,2,0.0,2.0,NEW
军工,1,0,0,0,2,0.0,2.0,+0.0
有色金属,1,0,0,0,2,0.0,2.0,NEW
农业,1,0,0,0,2,0.0,2.0,NEW
食品,1,0,0,0,2,0.0,2.0,NEW
石油石化,1,0,0,0,0,0.0,2.0,NEW
