股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.603199,九华旅游,8.65,8.02,2.97,2.45,590951457.0,2.36,8.94,9.73,1.0,1,消费,60.93
sh.600658,电子城,13.99,12.94,6.72,7.43,414332453.0,1.19,4.99,14.45,0.964,1,电子,49.99
sh.600237,铜峰电子,23.21,22.15,4.98,4.89,502796467.0,1.46,5.76,2.42,1.0,1,电子,49.32
sh.603629,利通电子,17.92,17.15,4.84,5.61,311938907.0,0.99,3.37,5.18,0.995,1,电子,42.91
sh.600776,东方通信,11.68,11.25,1.97,2.2,219337940.0,1.17,4.17,4.65,1.0,1,通信,41.63
sh.603267,鸿远电子,11.29,10.78,7.29,11.02,521398746.0,0.72,0.98,11.56,0.947,1,电子,40.18
sh.603328,依顿电子,11.09,10.59,2.12,3.4,238094945.0,0.72,3.31,12.19,0.979,1,电子,38.22
sh.600699,均胜电子,20.36,19.05,3.0,3.18,833359733.0,0.87,0.15,11.84,0.994,1,电子,37.2
sh.603598,引力传媒,18.24,18.22,4.7,5.17,227737429.0,1.09,1.45,0.5,0.965,1,传媒,36.15
sh.600196,复星医药,14.34,13.83,2.14,1.73,300899418.0,1.51,3.39,5.8,1.0,0,,34.1
sh.603967,中创物流,20.02,19.22,3.51,3.22,328133662.0,1.25,2.83,3.95,0.994,0,,31.41
sh.600966,博汇纸业,20.28,20.26,2.7,1.68,231564119.0,2.04,-0.62,5.46,0.955,0,,30.66
sh.600754,锦江酒店,22.86,22.01,1.52,1.6,322614872.0,1.23,3.45,3.61,1.0,0,,30.16
sh.600060,海信视像,20.81,20.01,1.14,1.01,2063955613.0,1.36,1.43,6.87,1.0,0,,29.53
sh.600967,内蒙一机,5.82,5.63,1.77,2.51,524240453.0,0.89,1.73,2.79,0.998,0,,25.08
sh.601225,陕西煤业,27.58,27.0,1.29,1.83,764717213.0,0.51,-1.61,6.49,0.984,0,,18.36
sh.601918,新集能源,7.61,7.45,1.16,1.45,1169728477.0,0.81,-3.02,1.75,0.97,0,,17.64
