股票代码,股票名称,建议买入价,动量分,20日收益%,60日收益%,MA20斜率%,距20日高点%
300214,日科化学,12.97,41.72,27.03,45.57,40.8,-12.84
605179,一鸣食品,21.31,41.11,58.91,33.35,8.48,0.0
600663,陆家嘴,8.67,24.76,35.89,9.89,8.11,-0.69
603682,锦和商管,10.56,24.02,30.86,16.94,5.32,0.0
600936,北投科技,5.84,18.69,26.96,6.76,2.93,0.0
002879,长缆科技,17.88,17.78,27.35,0.45,5.69,-14.29
600351,亚宝药业,6.91,13.73,10.03,8.07,7.65,-0.86
