信号日期,样本数,日均毛收益率(%),日均净收益率(%),净胜率(%)
20260401,3,-1.223,-1.381,33.33
20260402,2,5.432,5.264,50.0
20260406,10,1.571,1.408,70.0
20260407,2,-0.912,-1.071,50.0
20260408,11,3.178,3.014,54.55
20260409,13,0.276,0.116,38.46
20260410,1,1.736,1.574,100.0
20260413,8,4.042,3.876,62.5
20260414,2,0.967,0.806,50.0
20260415,8,4.038,3.871,87.5
20260417,5,1.474,1.311,80.0
20260424,6,3.574,3.409,100.0
