序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
1,688809,强一股份,361.0,324.26%,352.45%,1.33亿
2,301687,新广益,61.81,181.85%,412.39%,-6.07亿
3,2931,锋龙股份,61.79,159.40%,3.04%,-2.90亿
4,300058,蓝色光标,20.85,135.33%,303.69%,35.81亿
5,1369,双欣环保,15.02,119.27%,287.68%,-16.50亿
6,688258,卓易信息,149.2,107.28%,62.71%,840.28万
7,2718,友邦吊顶,62.33,106.25%,127.94%,-3.99亿
8,301171,易点天下,70.01,100.31%,253.33%,-16.57亿
9,2969,嘉美包装,17.55,97.19%,69.95%,-17.36亿
10,1331,胜通能源,62.28,96.90%,109.17%,-13.08亿
11,688375,国博电子,158.93,94.62%,20.83%,11.79亿
12,603598,引力传媒,31.37,93.64%,113.08%,-8.87亿
13,301230,泓博医药,56.64,92.85%,79.74%,2.01亿
14,2413,雷科防务,18.12,92.15%,314.12%,-32.16亿
15,300063,天龙集团,15.62,90.49%,201.52%,3.10亿
16,301079,邵阳液压,60.7,90.46%,357.65%,-4.69亿
17,600783,鲁信创投,39.44,86.92%,85.43%,-13.82亿
18,300244,迪安诊断,29.16,85.61%,97.98%,-23.64亿
19,688031,星环科技,193.18,84.30%,131.04%,2.78亿
20,688365,光云科技,28.5,81.76%,81.42%,3.41亿
21,603778,国晟科技,25.2,81.69%,146.25%,-1.73亿
22,603402,陕西旅游,146.0,81.50%,337.49%,4.17亿
23,1396,誉帆科技,40.45,81.47%,305.53%,-2.73亿
24,300785,值得买,69.91,77.26%,249.30%,4.08亿
25,2131,利欧股份,9.03,75.34%,169.30%,-1.96亿
26,2195,岩山科技,11.99,74.53%,138.46%,34.37亿
27,2465,海格通信,24.2,73.48%,159.32%,-35.28亿
28,2202,金风科技,33.95,72.42%,170.58%,-95.28亿
29,688759,必贝特,49.89,71.56%,185.45%,6883.64万
30,300170,汉得信息,29.55,71.50%,201.78%,28.43亿
31,601698,中国卫通,48.49,71.28%,67.63%,6.50亿
32,688523,航天环宇,74.12,68.23%,290.75%,4.24亿
33,301293,三博脑科,94.63,68.02%,198.32%,-3.76亿
34,2519,银河电子,10.42,66.72%,131.87%,-6.50亿
35,2792,通宇通讯,69.97,66.60%,363.65%,-10.89亿
36,301550,斯菱智驱,180.0,65.41%,84.98%,15.88亿
37,300129,泰胜风能,16.75,63.73%,227.49%,4514.02万
38,301378,通达海,45.49,63.28%,87.39%,-2.87亿
39,600637,东方明珠,15.39,63.20%,47.20%,-14.02亿
40,2173,创新医疗,35.11,63.07%,165.15%,-10.22亿
41,2342,巨力索具,13.29,62.67%,191.25%,-13.39亿
42,603171,税友股份,82.0,62.38%,21.91%,1.01亿
43,600477,杭萧钢构,4.36,62.08%,58.99%,-20.35亿
44,300442,润泽科技,80.56,60.89%,44.69%,30.32亿
45,300253,卫宁健康,13.98,60.32%,105.64%,19.03亿
46,688160,步科股份,162.5,60.29%,65.64%,-2677.93万
47,300246,宝莱特,13.09,60.22%,86.05%,1027.43万
48,688710,益诺思,69.48,59.07%,32.40%,6781.15万
49,301330,熵基科技,46.53,58.91%,211.52%,1.06亿
50,688387,信科移动,19.3,58.85%,93.67%,-7.31亿
51,301363,美好医疗,36.68,58.65%,95.68%,-21.39亿
52,300418,昆仑万维,62.73,58.05%,95.72%,68.77亿
53,688568,中科星图,84.25,58.04%,56.23%,11.34亿
54,688335,复洁科技,37.55,57.57%,48.96%,671.04万
55,300342,天银机电,53.05,57.42%,243.23%,5.07亿
56,603667,五洲新春,82.65,57.19%,179.66%,-7.50亿
57,688626,翔宇医疗,86.74,56.88%,55.78%,-2.41亿
58,3041,真爱美家,70.44,56.71%,76.80%,-3.31亿
59,688222,成都先导,37.5,56.45%,70.78%,3.91亿
60,300291,百纳千成,10.0,56.25%,179.29%,-4.72亿
61,2757,南兴股份,25.01,56.21%,234.77%,-18.02亿
62,300624,万兴科技,105.11,55.83%,127.60%,24.08亿
63,300364,中文在线,37.02,54.44%,139.96%,23.98亿
64,688625,呈和科技,62.32,53.91%,33.15%,1.93亿
65,300792,壹网壹创,41.08,53.23%,87.35%,3.00亿
66,600118,中国卫星,121.52,51.90%,136.97%,29.52亿
67,688615,合合信息,320.28,51.77%,46.17%,15.07亿
68,301231,荣信文化,44.55,51.69%,208.85%,2.94亿
69,2943,宇晶股份,55.2,50.86%,129.85%,4.75亿
70,300409,道氏技术,34.35,50.53%,208.13%,18.53亿
71,600498,烽火通信,44.32,50.49%,146.92%,-41.48亿
72,603488,展鹏科技,11.74,50.32%,91.43%,-8451.30万
73,2400,省广集团,12.55,50.12%,154.11%,-13.62亿
74,300887,谱尼测试,13.89,50.00%,221.50%,-3.87亿
75,300561,*ST汇科,21.94,49.76%,63.98%,3055.57万
