板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
汽车,1,3,0,2,5,1.4,3.4,NEW
建筑建材,1,3,0,2,5,1.4,3.4,NEW
家居用品,1,3,0,2,5,1.4,3.4,NEW
物流,1,3,0,2,5,1.4,3.4,+2.0
电商,1,2,0,0,6,0.8,2.8,+1.4
电子,1,2,0,0,6,0.8,2.8,+5.7
一带一路,1,2,0,0,6,0.8,2.8,NEW
传媒,1,0,0,0,0,0.0,2.0,NEW
人工智能,1,0,0,2,0,-0.6,1.4,-0.2
航空机场,1,0,0,2,0,-0.6,1.4,NEW
铁路运输,1,0,0,2,0,-0.6,1.4,NEW
计算机,1,1,0,11,1,-2.5,-0.5,NEW
消费,3,7,2,19,41,-8.899999999999999,-2.8999999999999986,-5.9
农业,1,2,0,10,23,-5.6,-3.5999999999999996,-5.2
综合,1,2,2,17,30,-11.1,-9.1,NEW
教育,2,4,2,27,53,-16.7,-12.7,-4.8
