股票代码,股票名称,综合分
301139,*ST元道,100.0
600265,*ST景谷,100.0
600818,ST中路,100.0
000677,ST海龙,100.0
002667,*ST威领,100.0
002082,ST万邦,100.0
600381,*ST春天,100.0
000820,*ST节能,100.0
600678,ST金顶,100.0
002694,*ST顾地,100.0
000669,ST金鸿,100.0
002514,*ST宝馨,100.0
000010,*ST美丽,100.0
603869,ST智知,100.0
600759,ST洲际,99.2
603838,*ST四通,98.83
603359,*ST东珠,97.85
002535,林州重机,91.31
002581,*ST未名,89.47
600243,*ST海华,88.81
603813,原尚股份,86.79
002207,*ST准油,85.35
688247,宣泰医药,84.66
001259,利仁科技,84.28
600543,*ST莫高,83.76
002200,交投生态,83.12
002691,*ST冀凯,82.82
002620,*ST瑞和,82.7
002528,*ST英飞,82.02
603825,ST华扬,81.53
603580,艾艾精工,81.26
688184,ST帕瓦,80.64
300205,*ST天喻,80.58
603261,立航科技,80.38
603235,天新药业,79.92
600365,ST通葡,79.51
603779,威龙股份,79.45
603828,*ST利达,79.31
605199,ST葫芦娃,78.91
688026,洁特生物,78.78
