股票代码,股票名称,建议买入价
601918,新集能源,6.21
601898,中煤能源,11.19
600900,长江电力,26.53
000983,山西焦煤,6.92
600219,南山铝业,3.64
000915,华特达因,30.46
002746,仙坛股份,5.94
600754,锦江酒店,21.44
600256,广汇能源,5.24
002206,海 利 得,5.61
600031,三一重工,19.44
600966,博汇纸业,4.96
601600,中国铝业,7.19
600007,中国国贸,19.21
000933,神火股份,17.53
600967,内蒙一机,21.86
601225,陕西煤业,19.48
002301,齐心集团,6.89
603393,新天然气,29.13
600060,海信视像,20.25
603967,中创物流,11.05
000935,四川双马,19.07
001206,依依股份,23.86
605183,确成股份,19.38
603619,中曼石油,18.47
600985,淮北矿业,12.28
