板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
军工,4,8,1,13,31,-2.3,5.7,+4.9
汽车,1,4,0,0,4,3.2,5.2,+0.7
航空机场,1,4,0,0,4,3.2,5.2,NEW
计算机,1,6,0,3,12,2.7,4.7,NEW
机器人,1,6,0,3,12,2.7,4.7,NEW
人工智能,3,9,1,13,38,-3.5,2.5,-8.0
钢铁,1,0,0,1,2,-0.7,1.3,NEW
有色金属,1,0,0,1,2,-0.7,1.3,NEW
建筑建材,1,0,0,1,2,-0.7,1.3,NEW
石油石化,1,0,0,3,1,-1.1,0.8999999999999999,NEW
消费,1,6,0,9,29,-2.5,-0.5,-11.0
教育,2,4,1,15,29,-7.3,-3.3,NEW
一带一路,1,3,1,9,24,-5.5,-3.5,-28.6
金融,1,3,1,9,24,-5.5,-3.5,-3.0
传媒,1,3,1,9,24,-5.5,-3.5,NEW
农业,1,3,1,9,24,-5.5,-3.5,-10.0
