股票代码,股票名称,建议买入价,动量分,20日收益%,60日收益%,MA20斜率%,距20日高点%
300214,日科化学,11.86,46.28,62.91,30.33,23.39,-16.01
002774,快意电梯,17.64,36.39,25.64,45.42,25.03,-0.06
002860,星帅尔,17.79,33.51,27.8,36.85,21.11,-3.21
301127,武汉天源,19.05,24.24,1.65,34.72,27.2,-11.11
301381,赛维时代,22.32,17.57,22.3,6.95,5.23,-1.98
601678,滨化股份,6.54,14.95,5.31,23.4,2.69,-16.58
002083,孚日股份,11.52,9.14,7.16,3.6,0.65,-2.21
