股票代码,股票名称,建议买入价
605183,确成股份,19.04
600223,福瑞达,7.6
601600,中国铝业,7.42
002299,圣农发展,16.5
600315,上海家化,25.47
000807,云铝股份,17.53
601225,陕西煤业,18.68
000534,万泽股份,15.55
002539,云图控股,10.51
000975,山金国际,18.67
001205,盛航股份,15.74
601156,东航物流,14.35
000915,华特达因,29.46
600060,海信视像,20.5
002327,富安娜,6.81
603238,诺邦股份,18.96
000060,中金岭南,5.06
002322,理工能科,12.36
600256,广汇能源,4.83
600508,上海能源,8.3
000933,神火股份,18.08
002301,齐心集团,6.59
000729,燕京啤酒,11.43
600900,长江电力,26.23
600219,南山铝业,3.43
601083,锦江航运,10.8
600196,复星医药,27.97
002746,仙坛股份,5.92
601918,新集能源,6.1
601857,中国石油,7.93
