股票代码,股票名称,建议买入价,动量分,20日收益%,60日收益%,MA20斜率%,距20日高点%
002141,贤丰控股,7.1,58.47,39.22,126.11,16.49,-3.92
688330,宏力达,39.28,14.65,18.71,11.43,5.8,-3.01
