股票代码,股票名称,综合分
000004,,60.22
000488,ST晨鸣,60.22
000595,新能股份,60.22
000712,锦龙股份,60.22
000820,*ST节能,60.22
000876,新 希 望,60.22
001228,永泰运,60.22
002204,大连重工,60.22
002586,ST围海,60.22
002620,*ST瑞和,60.22
002681,奋达科技,60.22
002808,,60.22
002898,赛隆退,60.22
003030,祖名股份,60.22
300171,东富龙,60.22
300908,仲景食品,60.22
600109,国金证券,60.22
600193,,60.22
600276,恒瑞医药,60.22
600305,恒顺醋业,60.22
600399,抚顺特钢,60.22
600521,华海药业,60.22
600608,,60.22
600728,佳都科技,60.22
600739,辽宁成大,60.22
600892,大晟文化,60.22
601162,天风证券,60.22
601177,杭齿前进,60.22
603885,吉祥航空,60.22
605077,华康股份,60.22
605081,,60.22
603013,亚普股份,60.12
002626,金达威,60.09
603317,天味食品,60.09
603309,维力医疗,60.06
600650,锦江在线,60.06
603888,新华网,60.02
600873,梅花生物,60.02
002123,梦网科技,60.0
002642,荣联科技,59.99
