板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
人工智能,3,6,0,2,18,2.5999999999999996,8.6,+7.0
物流,2,10,3,5,16,2.3,6.3,+4.9
一带一路,2,10,3,5,16,2.3,6.3,NEW
航空机场,2,7,3,5,4,1.7,5.7,NEW
军工,2,7,3,5,4,1.7,5.7,+2.7
消费,3,14,3,25,28,-0.5,5.5,+2.5
新能源车,1,7,3,4,4,2.0,4.0,NEW
教育,2,0,0,4,1,-1.4,2.6,+10.5
机器人,1,3,0,1,12,0.3,2.3,+0.3
通信,1,3,0,1,12,0.3,2.3,NEW
计算机,1,0,0,0,0,0.0,2.0,NEW
高速公路,1,0,0,1,0,-0.3,1.7,NEW
建筑建材,1,0,0,1,0,-0.3,1.7,NEW
汽车,1,0,0,0,3,-0.6,1.4,NEW
农业,1,4,0,20,12,-2.8,-0.7999999999999998,-2.4
