板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
教育,1,8,0,16,5,4.6,6.6,+14.5
消费,2,5,0,8,8,1.0,5.0,+2.0
农业,2,1,1,0,1,0.6000000000000001,4.6,+3.0
化工,2,4,1,8,9,-1.2,2.8,NEW
物流,2,4,1,8,9,-1.2,2.8,+1.4
国企改革,1,4,0,8,8,0.0,2.0,NEW
基建市政工程,1,4,0,8,8,0.0,2.0,NEW
核电,1,0,1,0,1,-1.2,0.8,NEW
人工智能,3,7,0,29,21,-5.9,0.09999999999999964,-1.5
军工,2,2,0,21,13,-6.9,-2.9000000000000004,-5.9
一带一路,2,6,0,29,21,-6.9,-2.9000000000000004,NEW
航空机场,2,2,1,21,14,-8.1,-4.1,NEW
汽车,1,2,0,21,13,-6.9,-4.9,NEW
机器人,1,2,0,21,13,-6.9,-4.9,-6.9
