股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.600313,农发种业,6.46,6.46,3.22,3.53,227023464.0,0.87,-2.12,1.73,0.96,1,农业,30.0
sh.601919,nan,20.87,20.19,2.46,2.9,346798581.0,1.16,3.48,3.94,0.986,0,,29.85
sh.601939,建设银行,8.77,8.77,1.27,1.16,1096468291.0,1.16,-1.21,0.22,0.964,1,金融,29.67
sh.600926,杭州银行,15.11,15.11,1.05,1.04,1183183100.0,1.12,-0.45,0.92,0.963,1,金融,29.26
sh.600256,nan,5.01,4.94,1.57,1.4,510625745.0,1.41,1.2,1.2,1.0,0,,28.0
sh.600761,nan,21.23,20.69,2.52,2.56,488403739.0,0.87,0.05,11.6,0.977,0,,24.5
sh.600587,nan,16.05,15.34,3.76,5.69,372306794.0,0.52,-0.98,11.5,0.964,0,,23.14
sh.600060,nan,21.9,21.28,0.81,0.96,1522528863.0,0.86,-0.76,4.94,0.977,0,,19.51
sh.600422,nan,10.02,10.02,0.82,0.97,211069095.0,1.06,-0.5,0.2,0.965,0,,18.42
sh.600521,nan,27.12,26.8,0.82,1.21,483330064.0,0.74,-0.22,2.68,0.979,0,,17.86
