板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
军工,1,3,0,4,2,2.2,4.2,+1.2
农业,1,3,0,4,2,2.2,4.2,+2.6
医药,1,3,0,1,8,1.9,3.9,+6.8
一带一路,1,4,0,3,6,1.9,3.9,NEW
基建市政工程,1,4,0,3,6,1.9,3.9,+2.3
人工智能,1,4,0,3,6,1.9,3.9,+2.3
核电,1,4,0,3,6,1.9,3.9,NEW
空调,1,1,0,0,0,1.0,3.0,NEW
交通运输,1,2,0,4,0,0.8,2.8,NEW
钢铁,1,1,0,0,5,0.0,2.0,NEW
航空机场,1,0,0,0,0,0.0,2.0,NEW
金融,1,0,0,0,5,-1.0,1.0,NEW
综合,2,6,4,18,19,-6.4,-2.4000000000000004,NEW
消费,2,5,4,14,26,-7.6000000000000005,-3.6000000000000005,-6.6
汽车,1,4,4,14,19,-7.2,-5.2,NEW
煤炭,1,4,4,14,19,-7.2,-5.2,NEW
电力,1,4,4,14,19,-7.2,-5.2,-6.8
石油石化,1,4,4,14,19,-7.2,-5.2,NEW
光伏,1,4,4,14,19,-7.2,-5.2,NEW
建筑建材,1,4,4,14,19,-7.2,-5.2,NEW
环保,1,4,4,14,19,-7.2,-5.2,NEW
