code,buy_date,sell_date,buy_price,sell_price,qty,return_pct
19,2026-06-30,2026-07-10,5.776,5.894,500,2.05
601857,2026-06-30,2026-07-10,8.899,9.261,300,4.07
25,2026-06-30,2026-07-10,13.313,13.327,200,0.1
601226,2026-06-30,2026-07-10,6.466,6.174,500,-4.53
601139,2026-06-30,2026-07-10,5.706,5.854,500,2.6
600827,2026-06-30,2026-07-10,7.507,7.562,400,0.73
600829,2026-06-30,2026-07-10,7.888,8.152,400,3.35
600833,2026-06-30,2026-07-10,9.309,9.61,300,3.23
600841,2026-06-30,2026-07-10,6.166,6.334,500,2.72
600845,2026-06-30,2026-07-10,16.476,19.98,200,21.26
600861,2026-06-30,2026-07-10,12.452,12.557,200,0.84
600875,2026-06-30,2026-07-10,28.829,28.112,100,-2.49
600882,2026-06-30,2026-07-10,16.456,19.361,200,17.65
600894,2026-06-30,2026-07-10,7.708,7.532,400,-2.27
600901,2026-06-30,2026-07-10,5.936,5.954,500,0.31
601200,2026-06-30,2026-07-10,6.687,6.823,400,2.04
600919,2026-06-30,2026-07-10,10.891,11.069,300,1.63
600955,2026-06-30,2026-07-10,15.095,14.555,200,-3.58
600977,2026-06-30,2026-07-10,13.013,13.866,200,6.56
600985,2026-06-30,2026-07-10,14.615,13.956,200,-4.51
600987,2026-06-30,2026-07-10,6.156,6.364,500,3.37
600989,2026-06-30,2026-07-10,20.761,20.3,100,-2.22
600993,2026-06-30,2026-07-10,22.132,23.227,100,4.95
601061,2026-06-30,2026-07-10,10.791,10.649,300,-1.31
601098,2026-06-30,2026-07-10,9.499,9.81,300,3.27
601107,2026-06-30,2026-07-10,5.065,5.185,600,2.36
601116,2026-06-30,2026-07-10,9.86,9.94,300,0.81
600938,2026-06-30,2026-07-10,26.787,28.122,100,4.98
601991,2026-06-30,2026-07-10,6.977,6.633,400,-4.92
601988,2026-06-30,2026-07-10,5.646,5.784,500,2.45
