股票代码,股票名称,行业
600258,首旅酒店,旅游酒店
000099,中信海直,航空机场
600861,北京人力,专业服务
601928,凤凰传媒,文化传媒
600886,国投电力,电力行业
600900,长江电力,电力行业
002884,凌霄泵业,通用设备
601985,中国核电,电力行业
600757,长江传媒,文化传媒
600674,川投能源,电力行业
600027,华电国际,电力行业
