板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
军工,2,0,0,2,0,-0.6,3.4,+2.6
物流,1,0,0,0,0,0.0,2.0,-6.1
消费,1,0,0,2,0,-0.6,1.4,-9.1
传媒,2,0,0,7,4,-2.9,1.1,NEW
半导体,1,2,0,1,15,-1.3,0.7,NEW
机器人,2,1,0,4,16,-3.4000000000000004,0.5999999999999996,NEW
汽车,3,3,0,8,38,-7.0,-1.0,-5.5
人工智能,1,1,0,4,15,-3.2,-1.2000000000000002,-11.7
电力,1,0,1,6,3,-3.4,-1.4,NEW
航空机场,1,1,0,3,19,-3.7,-1.7000000000000002,NEW
工程机械,1,1,0,3,19,-3.7,-1.7000000000000002,NEW
教育,3,3,1,11,33,-7.8999999999999995,-1.8999999999999995,NEW
