股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,异动催化数,异动催化词,异动催化分,综合分
sh.600060,nan,10.06,9.32,2.23,1.48,552611016.0,1.46,2.65,27.66,1.0,0,,0,,0.0,40.14
sh.601666,nan,23.35,23.16,1.18,0.64,371006807.0,1.85,-1.02,10.14,0.958,0,,0,,0.0,29.39
sh.600461,nan,5.88,5.88,1.93,1.76,233732144.0,1.05,4.44,1.73,0.959,0,,0,,0.0,25.05
sh.601677,nan,16.99,16.81,1.76,1.76,368902383.0,0.83,3.91,1.31,0.976,0,,0,,0.0,23.66
sh.600063,nan,18.75,18.09,1.35,1.18,2043871331.0,0.9,-1.32,10.1,0.948,0,,0,,0.0,19.47
