股票代码,股票名称,命中策略数,来源策略,综合评分,权重,建议买入价,建议仓位%,建议金额,最新价,止损价(下轨),止盈价(上轨),MA20,stop_pct,因子分
601919,中远海控,1,Vol20,71.5,13.8,15.37,5.0,6148.0,15.37,14.198687177412346,15.927312822587652,15.062999999999999,0.04,15.0
600926,杭州银行,2,CVAmt20/Vol20,63.1,13.8,16.18,5.0,6472.0,16.18,15.271058236427557,16.484941763572436,15.877999999999997,0.04,8.7
600018,上港集团,1,Vol20,59.2,13.8,5.2,5.0,5200.0,5.2,4.957076272349027,5.294423727650973,5.12575,0.04,9.3
601186,中国铁建,2,DistLo10/Vol20,56.3,13.8,6.2,5.0,5580.0,6.2,5.918497136010225,6.438502863989775,6.1785,0.04,8.6
603766,隆鑫通用,1,PVCorr60,53.0,8.7,14.01,4.6,5604.0,14.01,12.096363524982936,15.156636475017061,13.626499999999998,0.0577,12.5
600704,物产中大,1,Vol20,52.7,13.8,5.02,4.5,5020.0,5.02,4.819151993134164,5.059848006865837,4.939500000000001,0.04,8.0
601018,宁波港,1,Vol20,51.9,13.8,3.3489999999999998,4.4,4689.0,3.3489999999999998,3.2831911065391846,3.4648088934608148,3.3739999999999997,0.04,4.6
601607,上海医药,1,Vol20,51.9,13.8,16.33,4.4,4899.0,16.33,15.96834125374633,16.88965874625367,16.429,0.04,7.2
601128,常熟银行,1,Vol20,50.9,13.8,6.21,4.3,4347.0,6.21,6.091983203449664,6.424016796550336,6.258,0.04,5.0
601377,兴业证券,2,DistLo10/Vol20,48.9,13.8,5.91,4.0,4137.0,5.91,5.940856665864721,6.11514333413528,6.0280000000000005,0.04,1.2
603580,艾艾精工,3,PVCorr20/PVCorr60/Illiq20,48.7,8.7,53.618,4.0,5362.0,53.618,30.551973133653373,59.58202686634661,45.06699999999999,0.12,15.0
601333,广深铁路,1,Vol20,48.6,13.8,2.99,4.0,4186.0,2.99,2.928217597038106,3.0837824029618943,3.0060000000000002,0.04,3.9
600026,中远海能,1,PVCorr60,46.8,8.7,17.46,3.7,5238.0,17.46,14.138348905198136,17.546651094801867,15.842500000000001,0.0787,6.7
601878,浙商证券,1,Vol20,46.1,13.8,9.44,3.7,3776.0,9.44,9.321586549447996,9.638413450552004,9.48,0.04,1.4
