板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
消费,5,9,0,20,27,-2.3999999999999995,7.6000000000000005,-2.9
物流,2,5,0,2,6,3.2,7.2,-0.9
机器人,2,5,0,2,7,3.0,7.0,NEW
军工,1,5,0,2,6,3.2,5.2,+4.4
锂电,1,5,0,2,6,3.2,5.2,NEW
电力,1,2,0,1,2,1.3,3.3,NEW
核电,1,2,0,1,2,1.3,3.3,NEW
一带一路,1,0,0,0,1,-0.2,1.8,-23.3
人工智能,2,2,1,7,13,-3.7,0.2999999999999998,-10.2
石油石化,1,0,1,2,1,-1.8,0.19999999999999996,NEW
航空机场,1,0,1,2,1,-1.8,0.19999999999999996,NEW
农业,1,2,0,13,7,-3.3,-1.2999999999999998,-7.8
教育,1,2,0,13,7,-3.3,-1.2999999999999998,NEW
