股票代码,股票名称,建议买入价,动量分,20日收益%,60日收益%,MA20斜率%,距20日高点%
002412,汉森制药,7.38,19.76,29.47,8.85,1.07,0.0
002900,哈三联,12.1,17.38,25.91,5.68,1.03,-1.63
