股票代码,股票名称,行业
601928,凤凰传媒,文化传媒
600886,国投电力,电力行业
000021,深科技,消费电子
600027,华电国际,电力行业
600674,川投能源,电力行业
603075,热威股份,家电行业
002484,江海股份,电子元件
