股票代码,股票名称,建议买入价,上涨满足率,抗跌满足率,对齐交易日,指数上涨日数(对齐后),指数下跌日数(对齐后),个股上涨日数(对齐后),个股下跌日数(对齐后)
600872,中炬高新,26.95,0.9393939393939394,0.8571428571428571,68,33,35,34,32
600801,华新建材,28.85,0.9696969696969697,0.8285714285714286,68,33,35,36,32
600019,宝钢股份,18.16,0.8484848484848485,0.8285714285714286,68,33,35,41,26
600398,海澜之家,6.02,1.0,0.7714285714285715,68,33,35,33,31
603013,亚普股份,9.6,1.0,0.7714285714285715,68,33,35,35,33
603103,横店影视,8.96,1.0,0.7714285714285715,68,33,35,33,30
000848,承德露露,9.91,0.9696969696969697,0.7714285714285715,68,33,35,32,34
002545,东方铁塔,11.64,0.9696969696969697,0.7714285714285715,68,33,35,31,37
601033,永兴股份,4.86,0.9696969696969697,0.7714285714285715,68,33,35,34,32
000830,鲁西化工,8.38,1.0,0.7428571428571429,68,33,35,31,34
000915,华特达因,25.34,1.0,0.7428571428571429,68,33,35,32,34
600887,伊利股份,15.04,1.0,0.7428571428571429,68,33,35,35,28
600971,恒源煤电,10.26,1.0,0.7428571428571429,68,33,35,34,32
000099,中信海直,6.62,0.9696969696969697,0.7428571428571429,68,33,35,29,34
002406,远东传动,6.62,0.9696969696969697,0.7428571428571429,68,33,35,29,34
600285,羚锐制药,22.6,0.9696969696969697,0.7428571428571429,68,33,35,34,32
600559,老白干酒,6.62,0.9696969696969697,0.7428571428571429,68,33,35,29,34
600535,天士力,15.86,0.9393939393939394,0.7428571428571429,68,33,35,33,33
600452,涪陵电力,16.16,0.9393939393939394,0.7428571428571429,68,33,35,36,30
600642,申能股份,20.27,0.9393939393939394,0.7428571428571429,68,33,35,34,34
002019,亿帆医药,10.15,0.8787878787878788,0.7428571428571429,68,33,35,38,27
600827,百联股份,17.23,0.8787878787878788,0.7428571428571429,68,33,35,36,32
002270,华明装备,8.43,1.0,0.7142857142857143,68,33,35,34,32
601919,中远海控,15.21,1.0,0.7142857142857143,68,33,35,34,33
000899,赣能股份,25.32,0.9696969696969697,0.7142857142857143,68,33,35,31,35
600023,浙能电力,5.95,0.9696969696969697,0.7142857142857143,68,33,35,34,32
600085,同仁堂,25.82,0.9696969696969697,0.7142857142857143,68,33,35,32,35
600867,通化东宝,7.68,0.9696969696969697,0.7142857142857143,68,33,35,36,31
601058,赛轮轮胎,14.27,0.9696969696969697,0.7142857142857143,68,33,35,34,32
601098,中南传媒,5.61,0.9090909090909091,0.7142857142857143,68,33,35,29,37
601677,明泰铝业,10.9,0.7878787878787878,0.7142857142857143,68,33,35,35,31
601200,上海环境,24.65,0.7575757575757576,0.7142857142857143,68,33,35,33,31
