code,buy_date,sell_date,buy_price,sell_price,qty,return_pct,exit_reason
600198,2026-06-22,2026-06-23,8.809,9.301,100,5.58,take_partial
600030,2026-06-22,2026-06-23,26.476,28.292,100,6.86,take_partial_final
601009,2026-06-22,2026-06-23,10.801,10.869,300,0.63,trend_break
600177,2026-06-22,2026-06-23,7.327,7.572,600,3.35,take_band
603899,2026-06-22,2026-06-23,21.111,21.379,200,1.27,trend_break
000001,2026-06-22,2026-06-24,10.531,10.499,200,-0.29,trend_break
600198,2026-06-22,2026-06-25,8.809,9.56,400,8.53,take_partial_final
600246,2026-06-22,2026-06-26,19.019,19.95,100,4.9,take_partial_final
600203,2026-06-22,2026-06-26,12.492,12.008,300,-3.88,trend_break
002832,2026-06-22,2026-07-06,20.721,20.899,100,0.86,max_hold
