code,buy_date,sell_date,buy_price,sell_price,qty,return_pct,exit_reason
600802,2025-11-03,2025-11-04,7.017,7.802,200,11.19,take_partial
600515,2025-11-03,2025-11-04,4.955,5.415,300,9.28,take_partial
601857,2025-11-03,2025-11-04,8.949,9.301,100,3.93,take_partial
600802,2025-11-03,2025-11-04,7.017,7.802,600,11.19,take_band
600515,2025-11-03,2025-11-04,4.955,5.415,800,9.28,take_pct
601857,2025-11-03,2025-11-04,8.949,9.301,500,3.93,take_band
600900,2025-11-03,2025-11-04,27.137,27.552,200,1.53,take_band
600801,2025-11-03,2025-11-05,21.231,22.338,100,5.21,take_partial
600029,2025-11-03,2025-11-05,6.667,6.933,300,4.0,take_partial
601021,2025-11-03,2025-11-05,47.31,49.175,100,3.94,take_partial
600801,2025-11-03,2025-11-05,21.231,22.338,100,5.21,take_band
601156,2025-11-03,2025-11-05,15.345,15.475,400,0.84,take_band
600029,2025-11-03,2025-11-05,6.667,6.933,700,4.0,take_band
601600,2025-11-03,2025-11-06,9.99,10.679,100,6.9,take_partial
002928,2025-11-03,2025-11-06,10.701,11.179,100,4.47,take_partial
601021,2025-11-03,2025-11-06,47.31,49.405,100,4.43,take_partial_final
601600,2025-11-03,2025-11-07,9.99,10.569,400,5.8,take_partial_final
002928,2025-11-03,2025-11-10,10.701,11.658,500,8.95,take_partial_final
600004,2025-11-03,2025-11-11,9.439,9.88,400,4.67,take_partial
600004,2025-11-03,2025-11-12,9.439,9.83,1000,4.14,take_partial_final
600577,2025-11-03,2025-11-17,10.821,11.089,600,2.48,max_hold
