板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
消费,3,6,0,14,28,-3.0,3.0,+0.0
金融,2,6,0,13,24,-1.9,2.1,NEW
综合,4,14,2,42,44,-6.2,1.7999999999999998,NEW
军工,1,0,0,1,1,-0.5,1.5,-1.5
医院,2,1,0,10,15,-4.2,-0.20000000000000018,NEW
教育,1,1,0,1,16,-2.5,-0.5,+7.4
农业,1,1,0,1,16,-2.5,-0.5,-2.1
地产,1,8,2,20,21,-2.6,-0.6000000000000001,NEW
基建市政工程,1,8,2,20,21,-2.6,-0.6000000000000001,NEW
汽车,1,1,0,9,11,-3.1,-1.1,NEW
锂电,1,1,0,9,11,-3.1,-1.1,NEW
医药,1,1,0,9,11,-3.1,-1.1,+1.8
电商,1,1,0,9,11,-3.1,-1.1,-2.5
传媒,2,9,2,29,32,-5.7,-1.7000000000000002,NEW
