板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
计算机,1,3,0,3,8,0.5,2.5,NEW
金融,1,3,0,3,8,0.5,2.5,+3.0
核电,1,3,0,3,8,0.5,2.5,NEW
地产,1,3,0,3,8,0.5,2.5,NEW
电力,2,4,0,9,18,-2.3,1.7000000000000002,NEW
航空机场,1,0,0,0,2,-0.4,1.6,NEW
机器人,1,0,0,0,3,-0.6,1.4,NEW
环保,1,0,0,2,1,-0.8,1.2,NEW
教育,1,1,0,0,12,-1.4,0.6000000000000001,NEW
物流,1,1,0,0,12,-1.4,0.6000000000000001,-7.5
电商,1,1,0,0,12,-1.4,0.6000000000000001,NEW
农业,1,0,0,4,3,-1.8,0.19999999999999996,-6.3
化工,1,0,0,4,3,-1.8,0.19999999999999996,NEW
一带一路,2,2,0,6,22,-4.199999999999999,-0.1999999999999993,-25.3
