股票代码,股票名称,建议买入价,动量分,20日收益%,60日收益%,MA20斜率%,距20日高点%
600664,哈药股份,5.84,61.34,83.07,61.33,15.71,0.0
300534,陇神戎发,13.8,55.97,81.82,48.55,12.25,-0.14
