板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
电商,1,11,0,5,31,3.3,5.3,+3.9
元宇宙,1,11,0,5,31,3.3,5.3,NEW
军工,1,11,0,5,31,3.3,5.3,+2.3
计算机,1,11,0,5,31,3.3,5.3,NEW
人工智能,2,14,1,8,49,0.0,4.0,+2.4
消费,2,14,1,8,49,0.0,4.0,+1.0
航空机场,1,0,0,0,1,-0.2,1.8,NEW
金融,2,13,2,17,45,-3.1000000000000005,0.8999999999999995,NEW
一带一路,2,13,2,17,45,-3.1000000000000005,0.8999999999999995,NEW
综合,2,13,2,17,45,-3.1000000000000005,0.8999999999999995,NEW
医院,1,0,0,1,7,-1.7,0.30000000000000004,NEW
物流,3,16,3,20,63,-6.4,-0.40000000000000036,-1.8
环境治理,1,0,0,4,8,-2.8,-0.7999999999999998,NEW
食品,2,0,0,17,2,-5.5,-1.5,-6.4
医药,1,2,2,12,14,-6.4,-4.4,-1.5
