股票代码,股票名称,建议买入价
000060,中金岭南,5.01
600031,三一重工,20.04
600315,上海家化,22.67
601857,中国石油,8.81
002299,圣农发展,15.56
000933,神火股份,23.18
601225,陕西煤业,21.58
001205,盛航股份,16.36
000935,四川双马,19.64
600256,广汇能源,5.01
000975,山金国际,19.84
600521,华海药业,16.68
603848,好太太,18.83
605183,确成股份,18.29
601898,中煤能源,13.54
600801,华新建材,20.54
601965,中国汽研,16.36
603967,中创物流,10.9
601598,中国外运,5.84
600508,上海能源,8.57
603238,诺邦股份,16.72
002746,仙坛股份,5.97
600223,福瑞达,7.56
000534,万泽股份,16.25
605377,华旺科技,8.41
002327,富安娜,6.75
002322,理工能科,11.7
603298,杭叉集团,23.98
000915,华特达因,30.89
000807,云铝股份,21.88
601600,中国铝业,9.35
600409,三友化工,5.24
