股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.601058,nan,17.0,16.01,1.72,2.31,362626612.0,0.73,8.01,5.13,1.0,0,,32.24
sh.601200,nan,25.4,23.83,2.19,3.19,495375099.0,0.7,10.92,3.34,0.997,0,,31.96
sh.601877,nan,25.88,24.5,0.98,1.03,543273874.0,0.96,6.85,5.63,1.0,0,,31.77
sh.603939,nan,22.44,21.64,1.41,1.01,380979597.0,1.64,-0.13,11.25,0.987,0,,31.08
sh.603515,nan,16.85,15.76,1.53,1.61,997404319.0,0.94,6.85,2.68,0.991,0,,30.25
sh.600125,nan,21.38,20.08,2.42,2.23,2604961295.0,0.9,5.58,3.79,0.993,0,,29.83
sh.600452,nan,17.04,16.64,2.24,2.17,568176452.0,0.97,6.23,5.64,0.967,0,,29.36
sh.603816,nan,25.26,23.8,1.26,1.29,261860284.0,1.16,3.52,12.92,0.959,0,,28.78
sh.601872,nan,16.78,15.61,1.42,1.21,1951347032.0,1.2,3.64,3.58,0.985,0,,28.17
sh.601098,nan,17.8,17.8,1.85,1.28,224929064.0,1.88,0.56,0.23,0.955,0,,26.99
sh.601083,nan,17.8,17.8,1.85,1.28,224929064.0,1.88,0.56,0.23,0.955,0,,26.99
sh.600578,nan,9.93,9.54,1.92,1.95,294041782.0,0.78,3.87,9.12,0.977,0,,26.58
sh.600872,nan,19.83,18.88,1.86,2.51,285954182.0,0.88,3.77,5.09,0.976,0,,26.28
sh.601857,nan,6.13,5.95,0.91,0.93,269990147.0,1.17,1.83,10.05,0.967,0,,25.94
sh.600557,nan,17.86,17.09,1.59,1.64,255970438.0,1.09,2.94,7.2,0.963,0,,25.92
sh.600900,nan,21.46,20.24,1.24,1.5,350258216.0,0.93,0.75,20.9,0.95,0,,25.51
sh.600380,nan,12.28,11.9,1.02,1.19,222248848.0,0.82,2.76,8.67,0.988,0,,25.45
sh.601069,nan,9.58,9.06,1.24,1.59,1563339837.0,0.6,2.35,15.98,0.98,0,,25.33
sh.601919,nan,15.85,15.44,1.0,1.24,236712240.0,0.74,0.76,12.97,0.983,0,,23.41
sh.600019,nan,22.49,21.61,0.84,0.92,1181288118.0,1.06,0.4,10.68,0.966,0,,23.17
sh.603305,nan,19.31,18.45,1.59,1.73,279260351.0,0.87,2.06,5.23,0.974,0,,23.03
sh.600529,nan,19.62,19.03,1.68,2.1,219792384.0,0.86,0.05,8.7,0.979,0,,22.7
sh.603766,nan,14.38,13.46,0.81,0.95,239285124.0,0.87,1.2,10.62,0.964,0,,22.07
sh.600801,nan,13.01,12.65,1.26,2.39,534374527.0,0.56,1.8,8.87,0.96,0,,20.21
sh.603456,nan,13.65,13.43,1.25,1.35,561607979.0,0.99,-1.44,5.9,0.953,0,,19.33
sh.600285,nan,19.19,18.52,1.06,1.08,3517465136.0,0.74,1.0,8.48,0.958,0,,19.28
sh.603993,nan,19.19,18.52,1.06,1.08,3517465136.0,0.74,1.0,8.48,0.958,0,,19.28
sh.600521,nan,26.37,26.36,1.13,1.31,1883036277.0,0.89,-0.79,5.19,0.952,0,,17.86
