板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
物流,3,8,2,5,5,3.5,9.5,+8.1
一带一路,2,8,1,5,5,4.5,8.5,NEW
高速公路,1,7,0,1,2,6.3,8.3,NEW
交通运输,1,7,0,1,2,6.3,8.3,NEW
人工智能,2,3,0,5,11,-0.7,3.3,+1.7
农业,2,1,1,0,4,-0.8,3.2,+1.6
金融,1,1,0,0,5,0.0,2.0,NEW
汽车,1,1,0,0,5,0.0,2.0,NEW
电子,1,1,0,0,5,0.0,2.0,+4.9
消费,1,1,0,2,2,0.0,2.0,-1.0
地产,1,1,0,2,2,0.0,2.0,NEW
航空机场,1,0,0,0,0,0.0,2.0,NEW
电力,1,2,0,5,6,-0.7,1.3,-0.3
机器人,1,2,0,5,6,-0.7,1.3,-0.7
光伏,1,2,0,5,6,-0.7,1.3,NEW
教育,4,5,0,33,32,-11.299999999999999,-3.299999999999999,+4.6
综合,1,2,0,16,15,-5.8,-3.8,NEW
