板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
金融,1,4,0,1,2,3.3,5.3,+5.8
物流,3,7,0,12,26,-1.8,4.2,-3.9
军工,2,5,0,8,12,0.2,4.2,+3.4
农业,2,5,0,9,16,-0.8999999999999999,3.1,-3.4
机器人,1,5,0,7,12,0.5,2.5,NEW
一带一路,1,5,0,7,12,0.5,2.5,-22.6
地产,1,5,0,7,12,0.5,2.5,NEW
石油石化,2,2,0,5,14,-2.3,1.7000000000000002,NEW
传媒,1,2,0,3,7,-0.3,1.7,NEW
航空机场,2,6,3,10,13,-2.6,1.4,NEW
建筑建材,1,0,0,0,5,-1.0,1.0,NEW
消费,2,3,0,11,20,-3.5,0.5,-10.0
汽车,2,7,0,18,27,-3.8,0.20000000000000018,-4.3
锂电,1,2,0,4,14,-2.0,0.0,NEW
光伏,2,4,0,15,29,-6.3,-2.3,NEW
电力,1,2,0,11,15,-4.3,-2.3,NEW
氢能源,1,2,0,11,15,-4.3,-2.3,NEW
人工智能,2,2,0,15,28,-8.1,-4.1,-14.6
