板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
物流,3,16,0,5,5,14.299999999999999,20.299999999999997,+12.2
汽车,2,13,0,1,19,9.700000000000001,13.700000000000001,+9.2
消费,2,8,0,1,3,7.9,11.9,+1.4
传媒,3,8,0,1,15,5.5,11.5,NEW
电商,1,8,0,0,2,8.4,10.4,NEW
石油石化,1,2,0,4,0,2.4,4.4,NEW
机器人,1,5,0,1,17,1.3,3.3,NEW
军工,1,2,0,5,2,0.1,2.1,+1.3
元宇宙,1,0,0,1,1,-0.5,1.5,NEW
人工智能,1,0,0,1,1,-0.5,1.5,-9.0
建筑建材,1,0,0,4,5,-2.2,-0.20000000000000018,NEW
工程机械,1,0,0,4,5,-2.2,-0.20000000000000018,NEW
教育,2,0,1,16,14,-8.6,-4.6,NEW
