股票代码,股票名称,综合分
603167,渤海轮渡,73.89
601456,国联民生,73.32
000828,东莞控股,73.25
002191,劲嘉股份,73.07
600018,上港集团,72.9
601158,重庆水务,72.85
600874,创业环保,72.7
000088,盐 田 港,72.63
000900,现代投资,72.59
601228,XD广州港,72.51
600917,重庆燃气,72.45
600125,铁龙物流,72.42
600704,物产中大,72.41
601377,兴业证券,72.22
001213,中铁特货,72.14
601186,中国铁建,71.96
600017,日照港,71.96
600897,厦门空港,71.94
601607,上海医药,71.9
601018,宁波港,71.85
600035,楚天高速,71.83
600004,白云机场,71.8
000750,国海证券,71.77
600064,南京高科,71.75
601878,浙商证券,71.73
603310,巍华新材,71.67
601128,常熟银行,71.63
002014,永新股份,71.57
002267,陕天然气,71.56
600177,雅戈尔,71.55
601919,中远海控,71.55
603855,华荣股份,71.53
600079,ST人福,71.52
600925,苏能股份,71.38
601901,方正证券,71.38
600054,黄山旅游,71.36
600987,航民股份,71.36
600926,杭州银行,71.35
600551,时代出版,71.35
002327,富安娜,71.34
