股票代码,股票名称,建议买入价,上涨满足率,抗跌满足率,对齐交易日,指数上涨日数(对齐后),指数下跌日数(对齐后),个股上涨日数(对齐后),个股下跌日数(对齐后)
600583,海油工程,28.96,0.96875,0.8529411764705882,66,32,34,35,31
600887,伊利股份,27.06,0.9375,0.8529411764705882,66,32,34,35,30
600026,中远海能,16.97,0.8125,0.8235294117647058,66,32,34,39,27
600452,涪陵电力,6.1,1.0,0.7941176470588235,66,32,34,33,29
000895,双汇发展,8.54,1.0,0.7647058823529411,66,32,34,30,33
600867,通化东宝,15.12,1.0,0.7647058823529411,66,32,34,34,28
601098,中南传媒,10.43,1.0,0.7647058823529411,66,32,34,35,29
601928,凤凰传媒,9.68,1.0,0.7647058823529411,66,32,34,35,31
601985,中国核电,8.99,1.0,0.7647058823529411,66,32,34,31,30
000598,兴蓉环境,9.97,0.96875,0.7647058823529411,66,32,34,31,33
002511,中顺洁柔,11.75,0.96875,0.7647058823529411,66,32,34,28,37
600104,上汽集团,22.68,0.96875,0.7647058823529411,66,32,34,34,30
601033,永兴股份,4.9,0.96875,0.7647058823529411,66,32,34,33,31
000902,新洋丰,25.41,1.0,0.7352941176470589,66,32,34,33,31
002332,仙琚制药,8.44,1.0,0.7352941176470589,66,32,34,34,30
601919,中远海控,15.39,1.0,0.7352941176470589,66,32,34,35,30
000404,长虹华意,6.65,0.96875,0.7352941176470589,66,32,34,27,34
000888,峨眉山Ａ,25.56,0.96875,0.7352941176470589,66,32,34,31,33
600019,宝钢股份,7.77,0.96875,0.7352941176470589,66,32,34,30,35
600012,皖通高速,6.01,0.96875,0.7352941176470589,66,32,34,32,32
600956,新天绿能,14.38,0.96875,0.7352941176470589,66,32,34,32,32
600674,川投能源,15.7,0.9375,0.7352941176470589,66,32,34,36,29
600711,盛屯矿业,20.43,0.9375,0.7352941176470589,66,32,34,33,33
001380,华纬科技,10.33,0.875,0.7352941176470589,66,32,34,35,28
600761,安徽合力,17.5,0.875,0.7352941176470589,66,32,34,35,31
000683,博源化工,7.32,1.0,0.7058823529411765,66,32,34,34,30
002317,众生药业,16.28,0.96875,0.7058823529411765,66,32,34,31,34
600817,宇通重工,7.75,0.96875,0.7058823529411765,66,32,34,36,30
600529,山东药玻,15.9,0.9375,0.7058823529411765,66,32,34,31,33
603899,晨光股份,22.9,0.9375,0.7058823529411765,66,32,34,32,33
600598,北大荒,12.09,0.90625,0.7058823529411765,66,32,34,31,35
600971,恒源煤电,5.7,0.90625,0.7058823529411765,66,32,34,28,37
600587,新华医疗,11.98,0.875,0.7058823529411765,66,32,34,35,30
000828,东莞控股,12.62,0.8125,0.7058823529411765,66,32,34,34,31
601633,长城汽车,10.98,0.78125,0.7058823529411765,66,32,34,32,32
