code,buy_date,sell_date,buy_price,sell_price,qty,return_pct,exit_reason
601991,2026-05-25,2026-05-26,5.734,6.025,400,5.08,take_partial
600578,2026-05-25,2026-05-26,8.128,8.881,200,9.26,take_partial
600578,2026-05-25,2026-05-26,8.128,8.881,700,9.26,take_pct
601939,2026-05-25,2026-05-26,9.8,10.09,700,2.96,take_band
000543,2026-05-25,2026-05-26,8.288,8.591,900,3.66,take_band
601016,2026-05-25,2026-05-27,4.6,4.879,500,6.05,take_partial
000767,2026-05-25,2026-05-27,4.795,5.145,500,7.3,take_partial
001289,2026-05-25,2026-05-27,16.997,17.812,100,4.8,take_partial
601991,2026-05-25,2026-05-27,5.734,6.488,900,13.16,take_partial_final
000767,2026-05-25,2026-05-27,4.795,5.145,1100,7.3,take_band
601016,2026-05-25,2026-05-28,4.6,4.829,1100,4.97,take_partial_final
001289,2026-05-25,2026-05-28,16.997,18.012,300,5.97,take_partial_final
600188,2026-05-25,2026-06-01,20.911,23.606,100,12.89,take_partial
000983,2026-05-25,2026-06-01,6.697,7.193,400,7.41,take_partial
600188,2026-05-25,2026-06-01,20.911,23.606,300,12.89,take_band
000983,2026-05-25,2026-06-01,6.697,7.193,900,7.41,take_band
601838,2026-05-25,2026-06-02,17.598,18.352,100,4.28,take_partial
601838,2026-05-25,2026-06-03,17.598,18.332,300,4.17,take_partial_final
600449,2026-05-25,2026-06-04,14.665,13.157,500,-10.28,max_hold
600816,2026-05-25,2026-06-04,3.163,2.897,2700,-8.41,max_hold
