股票代码,股票名称,综合分
605005,合兴股份,100.0
600930,华电新能,100.0
002307,北新路桥,100.0
002227,*ST特迅,99.56
002831,裕同科技,99.17
300432,富临精工,98.88
603317,天味食品,98.49
300825,阿尔特,98.2
601799,星宇股份,98.17
002214,*ST大立,97.81
002426,胜利精密,97.74
002487,大金重工,97.73
300831,ST派瑞,97.54
002695,煌上煌,96.77
002946,新乳业,96.74
688096,京源环保,96.66
603092,德力佳,96.38
300808,久量股份,95.64
688063,派能科技,93.89
301031,中熔电气,93.63
001238,浙江正特,93.18
603826,坤彩科技,93.05
301662,宏工科技,92.81
000955,欣龙控股,92.77
300903,科翔股份,92.76
002598,ST章鼓,92.44
301203,国泰环保,92.11
002789,*ST建艺,92.11
603015,弘讯科技,92.02
301502,华阳智能,91.64
603181,皇马科技,91.58
001300,三柏硕,91.21
603150,万朗磁塑,91.15
300234,开尔新材,90.96
600302,ST标准,90.87
300286,安科瑞,90.78
603357,设计总院,90.71
300928,华安鑫创,90.42
603706,东方环宇,90.31
688479,友车科技,90.04
