股票代码,股票名称,命中策略数,来源策略,综合评分,权重,建议买入价,建议仓位%,建议金额,最新价,止损价(下轨),止盈价(上轨),MA20,stop_pct,因子分
600332,白云山,2,Skew60/Vol20,80.6,13.8,20.75,5.0,6225.0,20.75,20.310562546992855,21.51143745300714,20.910999999999998,0.04,10.6
601328,交通银行,2,CVAmt60/Vol20,75.0,13.8,6.7716,5.0,5417.0,6.7716,6.356423117858334,6.7347768821416665,6.5456,0.04,15.0
600919,江苏银行,1,Vol20,72.4,13.8,11.4968,5.0,5748.0,11.4968,10.743771471666657,11.357828528333341,11.050799999999999,0.04,15.0
601916,浙商银行,1,Vol20,71.9,13.8,2.979,5.0,5064.0,2.979,2.807360732557627,2.9656392674423726,2.8865,0.04,15.0
600036,招商银行,1,Vol20,71.7,13.8,37.86,5.0,7572.0,37.86,35.69016287280063,37.866837127199375,36.7785,0.04,15.0
600900,长江电力,1,Vol20,71.6,13.8,26.92,5.0,5384.0,26.92,25.83157478445492,27.244425215545082,26.538,0.04,15.0
601818,光大银行,1,Vol20,71.4,13.8,3.1100000000000003,5.0,5287.0,3.1100000000000003,3.0029788056716993,3.088021194328301,3.0455,0.04,15.0
601658,邮储银行,1,Vol20,71.2,13.8,4.9847,5.0,5483.0,4.9847,4.81502999683426,4.9463700031657405,4.8807,0.04,15.0
600028,中国石化,2,VRatio20_120/Vol20,64.7,13.8,4.668,5.0,5135.0,4.668,4.605694770060891,5.035305229939109,4.8205,0.04,9.8
000581,威孚高科,2,PVCorr60/Skew60,41.3,8.7,17.18,3.6,5154.0,17.18,17.475449084404534,19.72155091559547,18.5985,0.04,-2.0
002223,鱼跃医疗,2,PVCorr60/Skew60,40.5,8.7,25.06,3.5,5012.0,25.06,24.840182724619563,27.836817275380437,26.3385,0.04,-2.8
600704,物产中大,1,PVCorr60,30.3,8.7,4.6,2.7,2760.0,4.6,4.607283624844809,4.973716375155191,4.7905,0.04,4.0
605208,永茂泰,1,Skew20,24.0,0.0,15.16,2.3,3032.0,15.16,13.93993710320882,15.268062896791179,14.604,0.0616,15.0
002594,比亚迪,1,DistLo60,23.3,3.3,89.952,2.2,8995.0,89.952,90.76825089121361,97.61774910878641,94.19300000000001,0.0442,15.0
002139,拓邦股份,1,Skew60,20.4,4.2,9.97,2.0,2991.0,9.97,9.856839226431802,11.497160773568197,10.677,0.0515,1.8
600592,龙溪股份,2,DistLo10/DistLo60,20.2,3.3,18.145,2.0,3629.0,18.145,18.604976239832936,21.50602376016706,20.0555,0.1034,-0.0
002033,丽江股份,2,VRatio20_120/VRatio10_60,15.3,0.0,8.55,1.7,1710.0,8.55,8.499844219076573,8.796155780923426,8.648,0.04,15.0
600279,重庆港,2,DistLo10/DistLo60,12.6,3.3,4.492999999999999,1.5,1797.0,4.492999999999999,4.4301000150875245,5.600899984912474,5.015499999999999,0.116,-5.9
300854,中兰环保,1,Skew20,12.3,0.0,33.74,1.5,3374.0,33.74,25.24888329948416,33.429545271944406,29.339214285714284,0.12,15.0
600930,华电新能,1,DistLo60,11.8,3.3,5.6899999999999995,1.5,1707.0,5.6899999999999995,5.837181820114455,6.458818179885545,6.148,0.0491,-0.5
002670,国盛证券,1,Skew60,11.4,4.2,11.53,1.4,2306.0,11.53,10.972267646077514,12.465732353922485,11.719,0.04,0.1
000932,华菱钢铁,1,PVCorr60,10.2,8.7,3.61,1.4,1444.0,3.61,3.5991578176583254,4.171842182341674,3.8854999999999995,0.0471,-15.0
605499,东鹏饮料,1,DistLo60,9.5,3.3,131.88,1.3,13188.0,131.88,133.2375043609673,151.45911102364812,142.3483076923077,0.0681,1.2
600066,宇通客车,1,Skew20,8.5,0.0,30.05,1.3,3005.0,30.05,30.084050449786506,33.59594955021348,31.839999999999996,0.0623,4.7
601933,永辉超市,2,DistLo10/DistLo60,7.8,3.3,3.23,1.2,1292.0,3.23,3.310429128211689,3.7785708717883115,3.5445,0.0628,-3.5
688153,唯捷创芯,1,Skew60,5.3,4.2,28.532999999999998,1.1,2853.0,28.532999999999998,27.189845293526215,34.85115470647378,31.0205,0.0802,-9.8
000895,双汇发展,1,Skew20,4.9,0.0,24.32,1.0,2432.0,24.32,23.79773262398127,26.688267376018736,25.243000000000002,0.04,7.6
300708,聚灿光电,1,Skew20,4.5,0.0,8.62,1.0,1724.0,8.62,8.468789717719336,10.025210282280664,9.247,0.0721,-0.6
603158,腾龙股份,1,DistLo10,4.3,0.0,13.709999999999999,1.0,1371.0,13.709999999999999,13.667991714121731,16.000008285878263,14.833999999999998,0.1019,7.0
002643,万润股份,1,Skew60,3.4,4.2,14.505,1.0,1450.0,14.505,13.267910240083449,18.58108975991655,15.9245,0.0937,-10.1
300363,博腾股份,2,Skew20/Skew60,-0.7,4.2,13.86,0.8,1386.0,13.86,13.379989484510968,16.04201051548903,14.710999999999999,0.0719,-15.0
002252,上海莱士,1,CVAmt60,-0.8,0.0,4.976999999999999,0.8,995.0,4.976999999999999,5.008270848998617,5.438729151001382,5.2235,0.04,1.9
600745,*ST闻泰,1,DistLo10,-4.6,0.0,18.88,0.6,1888.0,18.88,15.854072387384965,22.506927612615037,19.180500000000002,0.12,-9.4
600644,乐山电力,1,DistLo60,-5.8,3.3,10.165,0.5,1016.0,10.165,10.699388092066842,11.973611907933156,11.3365,0.0778,-13.9
600536,中国软件,1,DistLo60,-6.4,3.3,34.53,0.5,3453.0,34.53,34.88825234442042,40.82974765557957,37.858999999999995,0.0631,-15.0
300364,中文在线,1,DistLo60,-6.7,3.3,22.87,0.5,2287.0,22.87,22.99663576071933,28.48236423928067,25.7395,0.0711,-15.0
601808,中海油服,1,VRatio20_120,-7.9,0.0,12.077499999999999,0.4,1208.0,12.077499999999999,12.130722753532906,14.039277246467092,13.084999999999999,0.04,-5.2
600320,振华重工,2,PVCorr20/VRatio10_60,-10.5,0.0,4.335,0.3,434.0,4.335,4.376381262781471,5.09361873721853,4.735,0.04,-8.5
000617,中油资本,2,PVCorr20/VRatio10_60,-14.3,0.0,7.123,0.2,712.0,7.123,6.984622928250844,8.853377071749154,7.919,0.04,-14.6
600761,安徽合力,1,VRatio20_120,-14.7,0.0,16.38,0.2,1638.0,16.38,16.26860332830634,19.02039667169366,17.6445,0.04,-9.4
600765,中航重机,1,VRatio20_120,-15.9,0.0,13.21,0.1,1321.0,13.21,13.19558809366648,15.878353906333519,14.536971,0.04,-13.2
000990,诚志股份,1,PVCorr20,-16.8,0.0,6.385714285714286,0.1,639.0,6.385714285714286,6.213206084028553,7.958936773114303,7.086071428571428,0.0537,-14.1
300413,芒果超媒,1,CVAmt60,-16.9,0.0,15.889999999999999,0.1,1589.0,15.889999999999999,15.690603541178774,19.26939645882122,17.479999999999997,0.0407,-14.2
600759,ST洲际,1,Illiq20,-17.7,0.0,2.52,0.1,252.0,2.52,2.433571585507519,3.1634284144924805,2.7984999999999998,0.112,-15.0
002455,百川股份,1,VRatio20_120,-17.7,0.0,8.13,0.1,813.0,8.13,7.802653169041117,10.160346830958883,8.9815,0.0498,-15.0
002683,广东宏大,1,PVCorr20,-17.7,0.0,29.900000000000002,0.1,2990.0,29.900000000000002,29.216393347473222,38.11560665252677,33.666,0.0498,-15.0
002092,中泰化学,1,PVCorr20,-17.7,0.0,4.34,0.1,434.0,4.34,4.1197986399336095,5.613201360066391,4.8665,0.0618,-15.0
600973,宝胜股份,1,DistLo10,-20.8,0.0,6.41,0.0,641.0,6.41,6.665202770951278,7.6487972290487205,7.156999999999999,0.1083,-15.0
