信号日期,样本数,日均毛收益率(%),日均净收益率(%),净胜率(%)
20260401,3,-1.223,-1.381,33.33
20260402,2,5.432,5.264,50.0
20260406,10,1.571,1.408,70.0
20260407,3,-0.175,-0.335,66.67
20260408,15,1.863,1.7,60.0
