股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.603285,nan,12.51,11.6,3.69,1.84,421480071.0,2.5,6.56,10.22,1.0,0,,50.36
sh.600827,nan,19.88,18.69,3.31,2.14,511164087.0,1.55,6.2,5.13,1.0,0,,38.55
sh.600754,nan,20.83,19.31,1.21,1.0,2114095355.0,1.22,4.31,17.22,1.0,0,,35.88
sh.603013,nan,20.83,19.31,1.21,1.0,2114095355.0,1.22,4.31,17.22,1.0,0,,35.88
sh.600583,nan,6.29,5.85,0.92,0.75,274505488.0,1.18,5.01,15.2,1.0,0,,35.2
sh.600642,nan,23.48,22.31,2.21,1.55,291489054.0,1.21,3.85,13.87,1.0,0,,34.75
sh.600529,nan,20.02,18.82,2.33,2.14,307794792.0,1.14,5.48,8.57,1.0,0,,34.59
sh.603218,nan,18.35,16.91,1.46,1.66,238535622.0,0.93,5.4,13.13,1.0,0,,33.45
sh.601919,nan,16.32,15.08,1.66,1.29,413115879.0,1.19,3.88,10.57,1.0,0,,32.82
sh.603939,nan,22.7,21.26,1.04,0.83,287165508.0,1.02,3.18,17.8,1.0,0,,32.47
sh.600398,nan,27.69,26.07,1.56,1.37,2700168052.0,1.21,1.69,13.25,1.0,0,,31.4
sh.600559,nan,16.85,15.78,2.21,1.72,1437087866.0,1.4,5.25,2.12,0.97,0,,30.87
sh.601038,nan,19.4,18.3,1.74,2.02,307018429.0,0.92,5.15,5.78,1.0,0,,30.55
sh.600900,nan,27.69,25.6,2.21,1.8,2245625126.0,1.06,0.98,14.52,1.0,0,,30.17
sh.601969,nan,12.43,11.71,1.74,1.8,242706801.0,0.98,3.41,7.99,1.0,0,,29.64
sh.600098,nan,24.41,23.8,4.66,2.79,1033025122.0,1.77,1.37,3.65,0.942,0,,29.42
sh.605555,nan,12.41,11.76,1.31,1.15,291411163.0,1.01,2.82,10.31,1.0,0,,29.34
sh.600585,nan,18.64,17.54,0.82,0.68,604101403.0,1.02,2.7,10.62,1.0,0,,28.78
sh.603298,nan,9.55,8.88,1.91,1.89,2434851444.0,0.8,-2.35,16.89,0.976,0,,24.88
sh.600085,nan,26.28,25.0,0.92,0.72,332113293.0,0.88,1.78,12.89,0.976,0,,24.81
sh.601058,nan,9.03,8.45,1.34,1.26,240223299.0,0.93,1.57,3.67,1.0,0,,24.44
sh.601225,nan,16.56,15.9,2.26,2.38,468883034.0,0.87,0.36,5.34,1.0,0,,24.42
sh.600352,nan,13.21,12.51,2.68,2.23,1160431506.0,1.14,-0.23,5.18,0.975,0,,24.1
sh.600026,nan,15.88,15.17,1.19,1.28,282308539.0,0.66,-0.44,15.41,0.989,0,,23.34
sh.600887,nan,5.66,5.37,0.92,1.0,228933462.0,0.77,-0.18,11.2,0.998,0,,23.29
sh.600867,nan,8.34,8.2,1.34,1.61,220766308.0,0.78,2.71,0.6,0.97,0,,20.48
sh.601877,nan,25.13,24.39,0.98,0.97,526937820.0,0.94,-1.3,1.66,0.987,0,,20.06
sh.601928,nan,15.16,15.08,1.06,0.98,484564664.0,0.9,-5.01,5.57,0.95,0,,17.56
sh.600452,nan,9.83,9.47,1.69,2.15,256359240.0,0.48,-3.25,4.13,0.968,0,,15.97
sh.601006,nan,9.79,9.79,1.32,1.45,340275062.0,0.63,-4.58,7.82,0.937,0,,15.02
