股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.600177,nan,7.28,6.99,1.11,0.78,384752007.0,1.67,7.69,2.02,1.0,0,,38.27
sh.601985,nan,9.07,8.57,1.94,1.44,3380695922.0,1.71,4.64,6.82,1.0,0,,37.71
sh.601997,贵阳银行,5.6,5.52,1.3,1.08,279684639.0,1.25,2.61,0.85,0.995,1,金融,37.12
sh.603093,南华期货,21.24,19.91,4.89,2.88,625596256.0,1.32,-4.8,17.02,0.925,1,金融,37.02
sh.600928,西安银行,5.19,5.12,0.83,0.65,964821454.0,1.29,1.48,1.67,1.0,1,金融,36.34
sh.601939,建设银行,8.97,8.69,0.98,1.06,860028932.0,0.81,2.01,3.62,1.0,1,金融,33.45
sh.601952,nan,10.38,9.56,1.98,2.52,289261701.0,0.71,5.48,12.78,0.984,0,,30.64
sh.600508,nan,9.68,9.17,2.19,2.39,219790821.0,0.91,4.23,9.36,0.987,0,,29.95
sh.601666,nan,9.02,8.76,1.82,2.72,412895000.0,0.71,4.0,9.39,0.989,0,,28.08
sh.601928,nan,15.24,14.34,1.05,1.14,810448115.0,0.93,2.54,11.65,0.967,0,,25.32
sh.601919,nan,15.28,14.75,1.01,1.1,2006160540.0,0.52,-0.06,8.16,0.93,0,,12.9
