股票代码,股票名称,建议买入价,上涨满足率,抗跌满足率,对齐交易日,指数上涨日数(对齐后),指数下跌日数(对齐后),个股上涨日数(对齐后),个股下跌日数(对齐后)
600867,通化东宝,26.78,0.9411764705882353,0.8529411764705882,68,34,34,34,32
600012,皖通高速,18.09,0.8529411764705882,0.8529411764705882,68,34,34,42,25
600900,长江电力,28.64,0.9705882352941176,0.8235294117647058,68,34,34,36,32
600352,浙江龙盛,5.99,1.0,0.7647058823529411,68,34,34,32,32
601919,中远海控,8.93,1.0,0.7647058823529411,68,34,34,33,30
000828,东莞控股,9.89,0.9705882352941176,0.7647058823529411,68,34,34,32,34
002382,蓝帆医疗,11.58,0.9705882352941176,0.7647058823529411,68,34,34,31,37
601928,凤凰传媒,9.55,0.9705882352941176,0.7647058823529411,68,34,34,34,34
000848,承德露露,8.32,1.0,0.7352941176470589,68,34,34,31,34
000902,新洋丰,25.09,1.0,0.7352941176470589,68,34,34,32,34
600886,国投电力,14.95,1.0,0.7352941176470589,68,34,34,35,28
601098,中南传媒,10.2,1.0,0.7352941176470589,68,34,34,34,32
000425,徐工机械,6.6,0.9705882352941176,0.7352941176470589,68,34,34,29,34
600285,羚锐制药,22.55,0.9705882352941176,0.7352941176470589,68,34,34,34,32
600419,天润乳业,15.86,0.9411764705882353,0.7352941176470589,68,34,34,33,33
600587,新华医疗,16.07,0.9411764705882353,0.7352941176470589,68,34,34,36,30
600729,重百集团,20.16,0.9411764705882353,0.7352941176470589,68,34,34,33,35
001380,华纬科技,9.99,0.8823529411764706,0.7352941176470589,68,34,34,37,28
600803,新奥股份,17.07,0.8823529411764706,0.7352941176470589,68,34,34,36,32
002317,众生药业,8.46,1.0,0.7058823529411765,68,34,34,33,33
601958,金钼股份,15.09,1.0,0.7058823529411765,68,34,34,34,33
000895,双汇发展,25.35,0.9705882352941176,0.7058823529411765,68,34,34,30,36
600019,宝钢股份,5.89,0.9705882352941176,0.7058823529411765,68,34,34,34,32
600062,华润双鹤,25.88,0.9705882352941176,0.7058823529411765,68,34,34,32,35
600827,百联股份,7.65,0.9705882352941176,0.7058823529411765,68,34,34,36,31
601033,永兴股份,14.2,0.9705882352941176,0.7058823529411765,68,34,34,34,32
601038,一拖股份,5.55,0.9117647058823529,0.7058823529411765,68,34,34,29,37
601857,中国石油,10.77,0.7941176470588235,0.7058823529411765,68,34,34,34,32
601107,四川成渝,24.56,0.7647058823529411,0.7058823529411765,68,34,34,33,31
600125,铁龙物流,24.56,0.7647058823529411,0.7058823529411765,68,34,34,33,31
