code,buy_date,sell_date,buy_price,sell_price,qty,return_pct,exit_reason
000779,2026-07-07,2026-07-08,8.719,9.171,100,5.19,take_partial
002223,2026-07-07,2026-07-08,26.056,25.285,100,-2.96,trend_break
600901,2026-07-07,2026-07-08,6.176,6.114,800,-1.01,trend_break
688153,2026-07-07,2026-07-08,31.154,30.952,100,-0.65,trend_break
601169,2026-07-07,2026-07-08,4.857,4.837,1100,-0.41,trend_break
601985,2026-07-07,2026-07-08,8.699,8.731,600,0.37,trend_break
000779,2026-07-07,2026-07-09,8.719,9.8,200,12.4,take_partial_final
600900,2026-07-07,2026-07-10,26.456,27.223,100,2.9,take_band
600177,2026-07-07,2026-07-20,7.608,7.702,400,1.24,max_hold
