股票代码,股票名称,命中策略数,来源策略,综合评分,权重,建议买入价,建议仓位%,建议金额,最新价,止损价(下轨),止盈价(上轨),MA20,stop_pct,因子分
002223,鱼跃医疗,2,PVCorr60/Skew60,40.8,9.0,25.8,5.0,5160.0,25.8,24.381810486086298,26.2341895139137,25.308,0.0445,10.2
600901,江苏金租,1,PVCorr60,38.5,9.0,5.94,5.0,5346.0,5.94,5.8941720699700335,6.616827930029966,6.2555,0.0548,8.9
301168,通灵股份,2,Skew20/Skew60,32.4,1.5,43.07,1.2,4307.0,43.07,40.61516201889428,46.61323798110571,43.6142,0.0626,15.0
000636,风华高科,1,CVAmt20,32.0,1.5,80.17,0.8,8017.0,80.17,53.36617372690551,80.1088262730945,66.7375,0.12,15.0
002371,北方华创,1,Skew20,31.9,1.5,859.4280000000001,0.7,85943.0,859.4280000000001,547.8139781853489,818.5030218146511,683.1585,0.0651,15.0
300814,中富电路,1,CVAmt20,31.7,1.5,191.03,0.6,19103.0,191.03,142.13224370527718,206.81775629472276,174.47499999999997,0.12,15.0
688313,仕佳光子,1,CVAmt60,31.6,1.5,175.3,0.5,17530.0,175.3,139.85871523698194,197.84828476301806,168.8535,0.12,15.0
688048,长光华芯,1,CVAmt60,31.3,1.5,418.33,0.3,41833.0,418.33,327.07910869293,427.38789130707,377.2335,0.12,15.0
605208,永茂泰,1,Skew20,31.0,1.5,14.5,0.2,1450.0,14.5,14.053410453518214,16.29458954648178,15.173999999999998,0.055,15.0
601985,中国核电,1,Vol20,30.8,1.5,8.9,0.1,890.0,8.9,8.732297319600068,9.162702680399935,8.947500000000002,0.04,15.0
000581,威孚高科,2,PVCorr20/PVCorr60,30.5,9.0,16.2,0.0,1620.0,16.2,16.12378971997711,18.43121028002289,17.2775,0.0413,-6.1
