股票代码,股票名称,综合分
300223,北京君正,100.0
600183,生益科技,100.0
603083,剑桥科技,100.0
000021,深科技,96.32
301308,江波龙,96.32
603678,火炬电子,96.32
688256,寒武纪,96.32
688608,恒玄科技,96.32
688260,昀冢科技,94.53
000636,风华高科,89.38
000725,京东方Ａ,89.38
001309,德明利,89.38
001359,平安电工,89.38
002106,莱宝高科,89.38
002137,实益达,89.38
002156,通富微电,89.38
002185,华天科技,89.38
002436,兴森科技,89.38
002552,宝鼎科技,89.38
002851,麦格米特,89.38
002938,鹏鼎控股,89.38
300037,新宙邦,89.38
300604,长川科技,89.38
300820,英杰电气,89.38
300975,商络电子,89.38
300976,达瑞电子,89.38
301086,鸿富瀚,89.38
301526,国际复材,89.38
301536,星宸科技,89.38
600176,中国巨石,89.38
600520,三佳科技,89.38
600667,太极实业,89.38
603986,兆易创新,89.38
688008,澜起科技,89.38
688110,东芯股份,89.38
688535,华海诚科,89.38
000733,振华科技,82.43
000960,锡业股份,82.43
002049,紫光国微,82.43
002241,歌尔股份,82.43
