日期,板块,热度分,置信度,股票代码,股票名称,匹配线索
20250912,一带一路,15.0,中,002640,跨境通,一带一路|出海|外贸|跨境
20250912,消费,4.0,观察,000921,海信家电,消费|白酒|食品饮料|家电
20250912,消费,4.0,观察,000978,桂林旅游,消费|白酒|食品饮料|家电
20250912,消费,4.0,观察,002059,云南旅游,消费|白酒|食品饮料|家电
20250912,消费,4.0,观察,002627,三峡旅游,消费|白酒|食品饮料|家电
20250912,消费,4.0,观察,002707,众信旅游,消费|白酒|食品饮料|家电
20250912,消费,4.0,观察,300859,西域旅游,消费|白酒|食品饮料|家电
20250912,消费,4.0,观察,600054,黄山旅游,消费|白酒|食品饮料|家电
20250912,消费,4.0,观察,600749,西藏旅游,消费|白酒|食品饮料|家电
20250912,消费,4.0,观察,603199,九华旅游,消费|白酒|食品饮料|家电
20250912,消费,4.0,观察,603402,陕西旅游,消费|白酒|食品饮料|家电
20250912,物流,4.0,观察,000520,凤凰航运,物流|快递|航运|港口
20250912,物流,4.0,观察,001872,招商港口,物流|快递|航运|港口
20250912,物流,4.0,观察,002468,申通快递,物流|快递|航运|港口
20250912,物流,4.0,观察,300013,新宁物流,物流|快递|航运|港口
20250912,物流,4.0,观察,600125,铁龙物流,物流|快递|航运|港口
20250912,物流,4.0,观察,600603,广汇物流,物流|快递|航运|港口
20250912,物流,4.0,观察,601083,锦江航运,物流|快递|航运|港口
20250912,物流,4.0,观察,601156,东航物流,物流|快递|航运|港口
20250912,物流,4.0,观察,603117,万林物流,物流|快递|航运|港口
20250912,物流,4.0,观察,603128,华贸物流,物流|快递|航运|港口
20250912,物流,4.0,观察,603565,中谷物流,物流|快递|航运|港口
20250912,物流,4.0,观察,603569,长久物流,物流|快递|航运|港口
20250912,物流,4.0,观察,603967,中创物流,物流|快递|航运|港口
20250912,航空机场,2.0,观察,000089,深圳机场,航空|机场|民航|飞机
20250912,航空机场,2.0,观察,000697,炼石航空,航空|机场|民航|飞机
20250912,航空机场,2.0,观察,002928,华夏航空,航空|机场|民航|飞机
20250912,航空机场,2.0,观察,300581,晨曦航空,航空|机场|民航|飞机
20250912,航空机场,2.0,观察,300900,广联航空,航空|机场|民航|飞机
20250912,航空机场,2.0,观察,600004,白云机场,航空|机场|民航|飞机
20250912,航空机场,2.0,观察,600009,上海机场,航空|机场|民航|飞机
20250912,航空机场,2.0,观察,600029,南方航空,航空|机场|民航|飞机
20250912,航空机场,2.0,观察,600316,洪都航空,航空|机场|民航|飞机
20250912,航空机场,2.0,观察,600515,海南机场,航空|机场|民航|飞机
20250912,航空机场,2.0,观察,601021,春秋航空,航空|机场|民航|飞机
20250912,航空机场,2.0,观察,603885,吉祥航空,航空|机场|民航|飞机
