板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
租赁,1,11,1,1,5,8.7,10.7,NEW
计算机,1,11,1,1,5,8.7,10.7,NEW
半导体,1,11,1,1,5,8.7,10.7,NEW
机器人,2,12,3,5,13,4.8999999999999995,8.899999999999999,NEW
汽车,2,12,3,5,13,4.8999999999999995,8.899999999999999,+4.4
消费,2,12,1,20,19,1.1999999999999993,5.199999999999999,-5.3
建筑建材,1,0,0,0,1,-0.2,1.8,NEW
航空机场,1,0,0,0,1,-0.2,1.8,NEW
纺织服装,1,0,0,1,0,-0.3,1.7,NEW
军工,2,1,0,2,16,-2.8,1.2000000000000002,+0.4
电力,1,1,2,4,8,-3.8,-1.7999999999999998,NEW
电商,1,1,2,4,8,-3.8,-1.7999999999999998,NEW
农业,1,1,2,4,8,-3.8,-1.7999999999999998,-8.3
石油石化,1,1,2,4,8,-3.8,-1.7999999999999998,NEW
教育,2,2,0,21,20,-8.3,-4.300000000000001,NEW
金融,1,1,0,19,14,-7.5,-5.5,-5.0
人工智能,4,3,2,26,42,-15.2,-7.199999999999999,-17.7
